period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks,p50_change,p50_threshold,p50_outlier,p92_change,p92_threshold,p92_outlier,total_change,total_threshold,total_outlier,previous_release,release_boundary
2024-11,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7479867,4424701,2833599,221567,151,0.999979812475,0.591548085013,0.378830131605,0.029621783382,13.997676016,13,26.8280681326,26,42.2320457238,42,46.6971043524,46,24.2320457238,-0.2301128120999998,0.8967580182374979,False,-0.1324182406000034,1.2153790610750077,False,-61504.0,93550.5,False,revised-or-established,False
2024-12,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7463085,4398544,2864139,200402,155,0.999979231109,0.589373429353,0.383774136299,0.0268524343485,14.2134938307,14,27.2634904844,27,42.7349585289,42,47.1780112238,47,24.7349585289,0.2158178146999994,0.8967580182374979,False,0.5029128051000029,1.2153790610750077,False,-16782.0,93550.5,False,revised-or-established,False
2025-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7427669,4371844,2856997,198828,139,0.999981286188,0.588588963779,0.384642476664,0.0267685595575,14.4354037935,14,27.2986166515,27,42.3969653248,42,47.2728363888,47,24.3969653248,0.22190996280000164,0.8967580182374979,False,-0.3379932041000018,1.2153790610750077,False,-35416.0,93550.5,False,revised-or-established,False
2025-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7401153,4379951,2827677,193525,161,0.999978246633,0.591793062513,0.382058984593,0.0261479528933,14.2078621474,14,26.7975539797,26,42.2183233356,42,46.6089838924,46,24.2183233356,-0.2275416461000006,0.8967580182374979,False,-0.17864198920000263,1.2153790610750077,False,-26516.0,93550.5,False,revised-or-established,False
2025-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7418598,4434722,2803633,180243,147,0.999980184935,0.597784379205,0.377919520643,0.0242961001526,13.8204404415,13,26.283037986,26,41.8904778843,41,46.418821115,46,23.8904778843,-0.3874217058999996,0.8967580182374979,False,-0.3278454513,1.2153790610750077,False,17445.0,93550.5,False,revised-or-established,False
2025-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7389065,4413682,2785360,190023,171,0.999976857694,0.59732618403,0.376957030423,0.0257167855473,13.258164625,13,26.5910745939,26,42.2618071861,42,46.714317912,46,24.2618071861,-0.5622758165000015,0.8967580182374979,False,0.371329301800003,1.2153790610750077,False,-29533.0,93550.5,False,revised-or-established,False
2025-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7355950,4482076,2677035,196839,160,0.999978248901,0.609313005118,0.363927840728,0.0267591541541,13.5697948901,13,26.7854906574,26,42.5267293498,42,47.1793781203,47,24.5267293498,0.3116302651000016,0.8967580182374979,False,0.26492216369999966,1.2153790610750077,False,-33115.0,93550.5,False,revised-or-established,False
2025-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7367836,4533070,2643011,191755,182,0.999975298039,0.615251208089,0.358722832593,0.0260259593183,13.397750439,13,25.6690338096,25,41.8065441402,41,46.80770382,46,23.8065441402,-0.17204445110000144,0.8967580182374979,False,-0.7201852095999968,1.2153790610750077,False,11886.0,93550.5,False,revised-or-established,False
2025-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7299023,4468469,2641138,189416,244,0.999966570868,0.612200975391,0.361848154198,0.025950870411,13.0989688179,13,25.4317197656,25,41.7966761934,41,46.3634806453,46,23.7966761934,-0.29878162109999984,0.8967580182374979,False,-0.009867946800000027,1.2153790610750077,False,-68813.0,93550.5,False,revised-or-established,False
2025-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7312356,4458454,2665200,188702,168,0.999977025189,0.609715117809,0.364478972304,0.0258059098873,13.4515398551,13,25.9277511962,25,42.157048613,42,46.7768515756,46,24.157048613,0.3525710372000006,0.8967580182374979,False,0.36037241959999733,1.2153790610750077,False,13333.0,93550.5,False,revised-or-established,False
2025-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7296893,4505684,2612677,178532,150,0.999979443306,0.617479795853,0.358053352297,0.0244668518505,13.3579782006,13,25.8475146373,25,41.8140699301,41,46.4143096184,46,23.8140699301,-0.0935616545000002,0.8967580182374979,False,-0.34297868290000366,1.2153790610750077,False,-15463.0,93550.5,False,revised-or-established,False
2025-10,Part_2,monthly,C_999,"England, all specialties",first-release,7304189,4506981,2626449,170759,172,0.999976451869,0.617040577674,0.359581193751,0.0233782285754,13.3110657894,13,25.2771881407,25,40.551395717,40,46.0841068357,46,22.551395717,-0.04691241119999923,0.8967580182374979,False,-1.2626742130999986,1.2153790610750077,True,7296.0,93550.5,False,revised-or-established,True
2025-11,Part_2,monthly,C_999,"England, all specialties",first-release,7159010,4412862,2592027,154121,177,0.999975275911,0.616406737803,0.362065006195,0.0215282560019,12.8972515877,12,25.1160617835,25,40.3595505188,40,44.6961684683,44,22.3595505188,-0.41381420170000105,0.8967580182374979,False,-0.19184519819999934,1.2153790610750077,False,-145179.0,93550.5,True,first-release,False
2025-12,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7199624,4424207,2636706,138711,223,0.99996902616,0.614505285276,0.366228291922,0.0192664228021,13.4457562768,13,25.7065120275,25,40.7780648501,40,45.0932661808,45,22.7780648501,0.5485046890999996,0.8967580182374979,False,0.4185143313000026,1.2153790610750077,False,40614.0,93550.5,False,first-release,True
2026-01,Part_2,monthly,C_999,"England, all specialties",first-release,7155958,4395958,2626140,133860,200,0.999972051261,0.6143074065,0.366986502716,0.0187060907848,13.6209059592,13,25.6484716552,25,40.347456,40,44.9822154091,44,22.347456,0.17514968240000073,0.8967580182374979,False,-0.4306088501000005,1.2153790610750077,False,-43666.0,93550.5,False,revised-or-established,True
2026-02,Part_2,monthly,C_999,"England, all specialties",first-release,7124952,4456261,2547820,120871,189,0.999973473506,0.625444353871,0.357591180965,0.0169644651641,13.1670783302,13,24.5877061599,24,39.4537529686,39,43.8768024801,43,21.4537529686,-0.4538276289999992,0.8967580182374979,False,-0.8937030314000012,1.2153790610750077,False,-31006.0,93550.5,False,first-release,False
2026-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7014835,4580320,2341908,92607,154,0.999978046526,0.652947645953,0.333850760567,0.0132015934801,11.3291372209,11,23.329388712,23,38.3399138115,38,42.5306982976,42,20.3399138115,-1.8379411093000009,0.8967580182374979,True,-1.1138391571000028,1.2153790610750077,False,-110117.0,93550.5,True,first-release,True
2026-04,Part_2,monthly,C_999,"England, all specialties",first-release,7093502,4607182,2388932,97388,191,0.999973073949,0.649493296823,0.336777518354,0.013729184823,11.8956547032,11,23.5913176097,23,38.7020305382,38,43.0835626618,43,20.7020305382,0.5665174823000001,0.8967580182374979,False,0.36211672670000183,1.2153790610750077,False,78667.0,93550.5,False,revised-or-established,True
2026-05,Part_2,monthly,C_999,"England, all specialties",first-release,7153655,4689601,2361713,102341,177,0.999975257403,0.655553140318,0.330140746234,0.0143061134483,12.4228168014,12,23.9010734215,23,38.5686655224,38,43.4277730493,43,20.5686655224,0.5271620981999998,0.8967580182374979,False,-0.1333650157999955,1.2153790610750077,False,60153.0,93550.5,False,first-release,False
