candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition
RC1835,2025-08,2025-09,NT412,DROITWICH SPA HOSPITAL,C_101,C_320,5,3,-2,0,2,2,1.0,0,C_320,0.0005148614765197,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1836,2025-08,2025-09,NT304,SPIRE SOUTHAMPTON HOSPITAL,C_320,X05,0,2,2,2,1,-1,0.5,1,C_320,0.0005148614765197,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1837,2024-06,2024-07,NVC15,PINEHILL HOSPITAL,C_301,C_400,52,50,-2,0,1,1,0.5,-1,C_301,0.0005133180364558,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1838,2024-06,2024-07,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,C_301,C_320,32,34,2,1,0,-1,0.5,1,C_301,0.0005133180364558,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1839,2024-06,2024-07,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,C_301,C_340,32,34,2,1,0,-1,0.5,1,C_301,0.0005133180364558,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1840,2024-08,2024-09,NT428,PRINCESS MARGARET HOSPITAL,C_301,C_400,34,32,-2,0,1,1,0.5,-1,C_301,0.0005124906790757,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1841,2024-08,2024-09,NT428,PRINCESS MARGARET HOSPITAL,C_301,X06,34,32,-2,1,2,1,0.5,-1,C_301,0.0005124906790757,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1842,2024-08,2024-09,NVC13,OAKS HOSPITAL,C_301,C_400,20,18,-2,0,1,1,0.5,-1,C_301,0.0005124906790757,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1843,2024-08,2024-09,NT409,CHELSFIELD PARK HOSPITAL,C_150,C_301,3,1,-2,30,32,2,1.0,0,C_301,0.0005124906790757,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1844,2024-08,2024-09,NT436,SHIRLEY OAKS HOSPITAL,C_150,C_301,3,1,-2,214,216,2,1.0,0,C_301,0.0005124906790757,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1845,2025-06,2025-07,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,C_130,X06,3596,3599,3,2,0,-2,0.6666666666666666,1,C_130,0.0005122784609105,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1846,2025-06,2025-07,NVC21,WEST MIDLANDS HOSPITAL,C_101,C_130,41,39,-2,0,3,3,0.6666666666666666,1,C_130,0.0005122784609105,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1847,2024-01,2024-02,NT440,THORNBURY HOSPITAL,C_301,X06,3,1,-2,3,5,2,1.0,0,C_301,0.0005122294788065,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
