period,kind,part,code,total,open_count,closed_share,p50_band_lower,p75_band_lower,p92_band_lower,p95_band_lower,band_count
2024-06,monthly,Part_2,C_130,610276,8,0.9999868911771068,11,22,39,45,105
2024-06,monthly,Part_2,C_301,390983,3,0.9999923270321216,13,26,42,47,105
2024-06,monthly,Part_2,C_320,417312,0,1.0,14,25,41,46,105
2024-06,monthly,Part_2,C_400,234156,1,0.9999957293428312,16,30,45,49,105
2024-07,monthly,Part_2,C_999,7623081,107,0.9999859636805644,13,26,44,49,105
2024-07,monthly,Part_2,C_100,419781,9,0.9999785602492728,14,28,46,51,105
2024-07,monthly,Part_2,C_110,850977,17,0.9999800229618426,14,28,46,51,105
2024-07,monthly,Part_2,C_120,657441,7,0.9999893526567404,18,32,49,54,105
2024-07,monthly,Part_2,C_130,606819,1,0.999998352062147,11,22,39,44,105
2024-07,monthly,Part_2,C_301,389622,1,0.9999974334098176,13,25,41,46,105
2024-07,monthly,Part_2,C_320,417864,0,1.0,13,25,41,45,105
2024-07,monthly,Part_2,C_400,235455,0,1.0,16,29,45,49,105
2024-08,monthly,Part_2,C_999,7641774,124,0.9999837734013072,14,27,44,49,105
2024-08,monthly,Part_2,C_100,421682,10,0.9999762854473276,15,28,46,51,105
2024-08,monthly,Part_2,C_110,853954,18,0.999978921581256,15,28,46,51,105
2024-08,monthly,Part_2,C_120,651027,7,0.9999892477577736,18,32,48,53,105
2024-08,monthly,Part_2,C_130,608212,6,0.9999901350187106,11,23,39,44,105
2024-08,monthly,Part_2,C_301,390702,0,1.0,13,25,41,46,105
2024-08,monthly,Part_2,C_320,418669,1,0.99999761147828,14,26,41,46,105
2024-08,monthly,Part_2,C_400,236621,1,0.9999957738324156,16,30,45,49,105
2024-09,monthly,Part_2,C_999,7571549,113,0.9999850757090788,14,27,43,48,105
2024-09,monthly,Part_2,C_100,413805,7,0.9999830838196736,14,28,45,50,105
2024-09,monthly,Part_2,C_110,851887,20,0.999976522707824,14,28,45,50,105
2024-09,monthly,Part_2,C_120,639967,2,0.9999968748388588,18,31,47,51,105
2024-09,monthly,Part_2,C_130,600374,4,0.9999933374863004,11,23,38,44,105
2024-09,monthly,Part_2,C_301,390251,2,0.9999948750932092,13,25,40,45,105
2024-09,monthly,Part_2,C_320,412164,0,1.0,14,26,41,45,105
2024-09,monthly,Part_2,C_400,234720,0,1.0,16,29,45,49,105
2024-10,monthly,Part_2,C_999,7541371,148,0.999980374921218,14,26,42,48,105
2024-10,monthly,Part_2,C_100,412644,12,0.9999709192427372,14,27,44,49,105
2024-10,monthly,Part_2,C_110,855660,27,0.9999684454105604,14,27,44,50,105
2024-10,monthly,Part_2,C_120,637647,2,0.9999968634683454,18,32,47,51,105
2024-10,monthly,Part_2,C_130,593842,8,0.999986528403178,11,23,37,42,105
2024-10,monthly,Part_2,C_301,392609,3,0.99999235880991,13,24,39,45,105
2024-10,monthly,Part_2,C_320,412017,2,0.9999951458313612,14,26,40,45,105
2024-10,monthly,Part_2,C_400,234414,1,0.9999957340431884,16,29,45,49,105
2024-11,monthly,Part_2,C_999,7479867,151,0.9999798124752752,13,26,42,46,105
2024-11,monthly,Part_2,C_100,409066,9,0.9999779986603629,14,27,43,49,105
2024-11,monthly,Part_2,C_110,853875,27,0.9999683794466404,14,27,43,49,105
2024-11,monthly,Part_2,C_120,633270,4,0.9999936835788842,18,32,46,51,105
2024-11,monthly,Part_2,C_130,583645,10,0.9999828662971498,11,22,37,42,105
2024-11,monthly,Part_2,C_301,392808,4,0.999989816908006,12,24,39,44,105
2024-11,monthly,Part_2,C_320,411612,5,0.9999878526379212,13,26,40,45,105
2024-11,monthly,Part_2,C_400,234563,1,0.999995736753026,15,29,43,48,105
2024-12,monthly,Part_2,C_999,7463085,155,0.9999792311088512,14,27,42,47,105
2024-12,monthly,Part_2,C_100,407980,8,0.9999803911956467,14,28,44,48,105
2024-12,monthly,Part_2,C_110,853202,30,0.9999648383384006,14,27,43,48,105
2024-12,monthly,Part_2,C_120,633387,5,0.9999921059320764,18,32,46,50,105
2024-12,monthly,Part_2,C_130,589336,5,0.9999915158754936,11,22,38,43,105
2024-12,monthly,Part_2,C_301,396642,13,0.999967224852638,13,24,39,43,105
2024-12,monthly,Part_2,C_320,412953,2,0.9999951568338286,13,26,41,45,105
2024-12,monthly,Part_2,C_400,233555,0,1.0,16,29,44,48,105
2025-01,monthly,Part_2,C_999,7427669,139,0.9999812861881702,14,27,42,47,105
2025-01,monthly,Part_2,C_100,406921,7,0.9999827976437689,14,28,43,48,105
2025-01,monthly,Part_2,C_110,847963,29,0.9999658003945928,15,28,43,48,105
2025-01,monthly,Part_2,C_120,637631,7,0.9999890218637424,18,32,47,50,105
2025-01,monthly,Part_2,C_130,579892,2,0.9999965510819256,11,22,38,43,105
2025-01,monthly,Part_2,C_301,395862,3,0.9999924216014672,13,24,39,43,105
2025-01,monthly,Part_2,C_320,415196,2,0.9999951829979096,14,26,40,45,105
2025-01,monthly,Part_2,C_400,232985,0,1.0,16,29,44,48,105
2025-02,monthly,Part_2,C_999,7401153,161,0.999978246632653,14,26,42,46,105
