period,part,kind,code,name,total,open_count,closed_share,all_below_p99_identifiable,published_percentile_in_open_band
2024-07,Part_2,monthly,C_130,Ophthalmology,606819,1,0.999998352062,True,False
2024-07,Part_2,monthly,C_301,Gastroenterology,389622,1,0.99999743341,True,False
2024-07,Part_2,monthly,C_320,Cardiology,417864,0,1,True,False
2024-07,Part_2,monthly,C_400,Neurology,235455,0,1,True,False
2024-07,Part_2,monthly,C_999,"England, all specialties",7623081,107,0.999985963681,True,False
2024-08,Part_2,monthly,C_100,General surgery,421682,10,0.999976285447,True,False
2024-08,Part_2,monthly,C_110,Trauma and orthopaedics,853954,18,0.999978921581,True,False
2024-08,Part_2,monthly,C_120,ENT,651027,7,0.999989247758,True,False
2024-08,Part_2,monthly,C_130,Ophthalmology,608212,6,0.999990135019,True,False
2024-08,Part_2,monthly,C_301,Gastroenterology,390702,0,1,True,False
2024-08,Part_2,monthly,C_320,Cardiology,418669,1,0.999997611478,True,False
2024-08,Part_2,monthly,C_400,Neurology,236621,1,0.999995773832,True,False
2024-08,Part_2,monthly,C_999,"England, all specialties",7641774,124,0.999983773401,True,False
2024-09,Part_2,monthly,C_100,General surgery,413805,7,0.99998308382,True,False
2024-09,Part_2,monthly,C_110,Trauma and orthopaedics,851887,20,0.999976522708,True,False
2024-09,Part_2,monthly,C_120,ENT,639967,2,0.999996874839,True,False
2024-09,Part_2,monthly,C_130,Ophthalmology,600374,4,0.999993337486,True,False
2024-09,Part_2,monthly,C_301,Gastroenterology,390251,2,0.999994875093,True,False
2024-09,Part_2,monthly,C_320,Cardiology,412164,0,1,True,False
2024-09,Part_2,monthly,C_400,Neurology,234720,0,1,True,False
2024-09,Part_2,monthly,C_999,"England, all specialties",7571549,113,0.999985075709,True,False
2024-10,Part_2,monthly,C_100,General surgery,412644,12,0.999970919243,True,False
2024-10,Part_2,monthly,C_110,Trauma and orthopaedics,855660,27,0.999968445411,True,False
2024-10,Part_2,monthly,C_120,ENT,637647,2,0.999996863468,True,False
2024-10,Part_2,monthly,C_130,Ophthalmology,593842,8,0.999986528403,True,False
2024-10,Part_2,monthly,C_301,Gastroenterology,392609,3,0.99999235881,True,False
2024-10,Part_2,monthly,C_320,Cardiology,412017,2,0.999995145831,True,False
2024-10,Part_2,monthly,C_400,Neurology,234414,1,0.999995734043,True,False
2024-10,Part_2,monthly,C_999,"England, all specialties",7541371,148,0.999980374921,True,False
2024-11,Part_2,monthly,C_100,General surgery,409066,9,0.99997799866,True,False
2024-11,Part_2,monthly,C_110,Trauma and orthopaedics,853875,27,0.999968379447,True,False
2024-11,Part_2,monthly,C_120,ENT,633270,4,0.999993683579,True,False
2024-11,Part_2,monthly,C_130,Ophthalmology,583645,10,0.999982866297,True,False
2024-11,Part_2,monthly,C_301,Gastroenterology,392808,4,0.999989816908,True,False
2024-11,Part_2,monthly,C_320,Cardiology,411612,5,0.999987852638,True,False
2024-11,Part_2,monthly,C_400,Neurology,234563,1,0.999995736753,True,False
2024-11,Part_2,monthly,C_999,"England, all specialties",7479867,151,0.999979812475,True,False
2024-12,Part_2,monthly,C_100,General surgery,407980,8,0.999980391196,True,False
2024-12,Part_2,monthly,C_110,Trauma and orthopaedics,853202,30,0.999964838338,True,False
2024-12,Part_2,monthly,C_120,ENT,633387,5,0.999992105932,True,False
2024-12,Part_2,monthly,C_130,Ophthalmology,589336,5,0.999991515875,True,False
