period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,263,C_170,0.5,196,7,7.41666666666667,7.416666666666667,-2.6645352591003757e-15
2024-01,Sub-ICB,263,C_170,0.92,196,27,27.44,27.44000000000001,7.105427357601002e-15
2024-01,Sub-ICB,264,C_300,0.5,951,20,20.425,20.425,0.0
2024-01,Sub-ICB,264,C_300,0.92,951,48,48.6781818181818,48.67818181818182,2.1316282072803006e-14
2024-01,Sub-ICB,265,C_301,0.5,9209,11,11.835593220339,11.835593220338984,-1.5987211554602254e-14
2024-01,Sub-ICB,265,C_301,0.92,9209,34,34.5770297029703,34.5770297029703,0.0
2024-01,Sub-ICB,266,C_320,0.5,9456,12,12.3829113924051,12.382911392405063,-3.730349362740526e-14
2024-01,Sub-ICB,266,C_320,0.92,9456,34,34.5409302325581,34.540930232558146,4.973799150320701e-14
2024-01,Sub-ICB,267,C_330,0.5,14869,14,14.9507978723404,14.950797872340425,2.4868995751603507e-14
2024-01,Sub-ICB,267,C_330,0.92,14869,35,35.9408695652174,35.9408695652174,0.0
2024-01,Sub-ICB,268,C_340,0.5,6590,12,12.3080808080808,12.308080808080808,7.105427357601002e-15
2024-01,Sub-ICB,268,C_340,0.92,6590,36,36.651724137931,36.65172413793104,4.263256414560601e-14
2024-01,Sub-ICB,269,C_400,0.5,5673,11,11.175,11.175,0.0
2024-01,Sub-ICB,269,C_400,0.92,5673,33,33.081568627451,33.08156862745098,-2.1316282072803006e-14
2024-01,Sub-ICB,270,C_410,0.5,2696,11,11.4728682170543,11.472868217054264,-3.552713678800501e-14
2024-01,Sub-ICB,270,C_410,0.92,2696,30,30.805,30.805000000000007,7.105427357601002e-15
2024-01,Sub-ICB,271,C_430,0.5,301,6,6.75,6.75,0.0
2024-01,Sub-ICB,271,C_430,0.92,301,22,22.64,22.640000000000004,3.552713678800501e-15
2024-01,Sub-ICB,272,C_502,0.5,15709,13,13.6606280193237,13.66062801932367,-3.019806626980426e-14
2024-01,Sub-ICB,272,C_502,0.92,15709,40,40.6364179104478,40.63641791044777,-2.842170943040401e-14
2024-01,Sub-ICB,278,C_999,0.5,195667,12,12.6060987903226,12.60609879032258,-1.9539925233402755e-14
2024-01,Sub-ICB,278,C_999,0.92,195667,37,37.1521523809524,37.15215238095239,-1.4210854715202004e-14
2024-01,Sub-ICB,279,C_100,0.5,15900,18,18.4788273615635,18.478827361563518,1.7763568394002505e-14
2024-01,Sub-ICB,279,C_100,0.92,15900,50,50.6067415730337,50.60674157303371,7.105427357601002e-15
2024-01,Sub-ICB,280,C_101,0.5,11897,15,15.59963099631,15.599630996309964,-3.552713678800501e-14
2024-01,Sub-ICB,280,C_101,0.92,11897,41,41.3748148148148,41.37481481481481,1.4210854715202004e-14
2024-01,Sub-ICB,281,C_110,0.5,18681,18,18.0511022044088,18.051102204408817,1.7763568394002505e-14
2024-01,Sub-ICB,281,C_110,0.92,18681,49,49.0295798319328,49.02957983193278,-2.1316282072803006e-14
2024-01,Sub-ICB,282,C_120,0.5,25271,21,21.2719123505976,21.27191235059761,1.0658141036401503e-14
2024-01,Sub-ICB,282,C_120,0.92,25271,52,52.038773006135,52.03877300613497,-3.552713678800501e-14
2024-01,Sub-ICB,283,C_130,0.5,17084,16,16.8923076923077,16.892307692307693,-7.105427357601002e-15
2024-01,Sub-ICB,283,C_130,0.92,17084,42,42.54,42.540000000000006,7.105427357601002e-15
2024-01,Sub-ICB,284,C_140,0.5,12881,15,15.8995037220844,15.899503722084367,-3.375077994860476e-14
2024-01,Sub-ICB,284,C_140,0.92,12881,40,40.0634482758621,40.06344827586207,-2.842170943040401e-14
2024-01,Sub-ICB,285,C_150,0.5,1573,17,17.8289473684211,17.82894736842105,-4.973799150320701e-14
