previous_period,period,population,providers,total_before,total_after,p50_before,p50_after,p50_change,p92_before,p92_after,within18_change,middle_change,over52_change
2025-06,2025-07,all,476,7367836,7299023,13.397750439012574,13.098968817940253,-0.29878162107232065,41.80654414023674,41.79667619335026,-64601,-1873,-2339
2025-06,2025-07,common,469,7276579,7298078,13.420062575727366,13.099044186854172,-0.32101838887319367,41.834204105486165,41.79569237324245,-4961,27071,-611
2025-07,2025-08,all,477,7299023,7312356,13.098968817940253,13.451539855072463,0.3525710371322095,41.79667619335026,42.15704861304907,-10015,24062,-714
2025-07,2025-08,common,473,7296115,7312255,13.095982097907731,13.451824446729338,0.35584234882160715,41.7980178676092,42.15718033152873,-8907,25723,-676
2025-08,2025-09,all,478,7312356,7296893,13.451539855072463,13.357978200639065,-0.09356165443339748,42.15704861304907,41.81406993006994,47230,-52523,-10170
2025-08,2025-09,common,474,7312352,7296480,13.451552095573835,13.35755528225189,-0.09399681332194376,42.157054566426666,41.81302291340757,47051,-52715,-10208
2025-09,2025-10,all,479,7296893,7304189,13.357978200639065,13.31106578940514,-0.046912411233925866,41.81406993006994,40.55139571699459,1297,13772,-7773
2025-09,2025-10,common,475,7296655,7303065,13.358551088239507,13.309899184619793,-0.04865190361971372,41.81442031652559,40.544540124906504,1073,13553,-8216
2025-10,2025-11,all,500,7304189,7159010,13.31106578940514,12.897251587718342,-0.4138142016867974,40.55139571699459,40.359550518779436,-94119,-34422,-16638
2025-10,2025-11,common,476,7243472,7156146,13.339014056372678,12.90175137771082,-0.43726267866185786,40.589997200839754,40.362930658191985,-53342,-17893,-16091
2025-11,2025-12,all,505,7159010,7199624,12.897251587718342,13.445756276791181,0.5485046890728391,40.359550518779436,40.77806485012684,11345,44679,-15410
2025-11,2025-12,common,497,7157725,7130702,12.897297739197645,13.460783391661181,0.5634856524635357,40.356958244787776,40.81007635707344,-33853,22764,-15934
2025-12,2026-01,all,515,7199624,7155958,13.445756276791181,13.620905959175278,0.175149682384097,40.77806485012684,40.34745600000001,-28249,-10566,-4851
2025-12,2026-01,common,504,7199624,7155903,13.445756276791181,13.620947714266617,0.1751914374754353,40.77806485012684,40.347555154929594,-28288,-10582,-4851
2026-01,2026-02,all,515,7155958,7124952,13.620905959175278,13.167078330194908,-0.45382762898037043,40.34745600000001,39.45375296859394,60303,-78320,-12989
2026-01,2026-02,common,513,7155942,7124952,13.620880250912643,13.167078330194908,-0.4538019207177353,40.347402533014844,39.45375296859394,60308,-78310,-12988
2026-02,2026-03,all,534,7124952,7014835,13.167078330194908,11.32913722093741,-1.837941109257498,39.45375296859394,38.339913811525044,124059,-205912,-28264
2026-02,2026-03,common,511,7117083,7005811,13.177520112886947,11.344345912326922,-1.8331742005600251,39.46770302963046,38.35215444620563,122934,-205942,-28264
2026-03,2026-04,all,533,7014835,7093502,11.32913722093741,11.895654703189418,0.5665174822520083,38.339913811525044,38.70203053824569,26862,47024,4781
2026-03,2026-04,common,527,6980032,7093501,11.33559182312459,11.895656810919728,0.5600649877951387,38.34220686939558,38.70203199591852,50311,57780,5378
2026-04,2026-05,all,533,7093502,7153655,11.895654703189418,12.42281680139593,0.5271620982065119,38.70203053824569,38.56866552242009,82419,-27219,4953
2026-04,2026-05,common,527,7093501,7153511,11.895652595459106,12.42287657827736,0.5272239828182546,38.70203199591852,38.56885360795252,82300,-27242,4952
