period,kind,part,code,p50,p50_lower_shift,p50_midpoint_shift,p75_lower_shift,p75_midpoint_shift,p92,p92_lower_shift,p92_midpoint_shift,p95_lower_shift,p95_midpoint_shift
2024-12,monthly,Part_2,C_100,14.673089958361576,-0.6730899583615759,-0.1730899583615759,-0.1158466348527227,0.3841533651472772,44.211935266352,-0.2119352663520004,0.2880647336479995,-0.7325189553496188,-0.2325189553496187
2024-12,monthly,Part_2,C_110,14.999468391441102,-0.999468391441102,-0.499468391441102,-0.9327136408844012,-0.4327136408844012,43.98933333333335,-0.9893333333333488,-0.4893333333333487,-0.7452993211273196,-0.2452993211273195
2024-12,monthly,Part_2,C_120,18.48866156016932,-0.4886615601693194,0.0113384398306806,-0.7221316818774426,-0.2221316818774426,46.786944868532665,-0.7869448685326645,-0.2869448685326645,-0.5101985981308488,-0.0101985981308487
2024-12,monthly,Part_2,C_130,11.515309010446147,-0.5153090104461491,-0.015309010446149,-0.9859995658780109,-0.4859995658780107,38.18894339622641,-0.1889433962264135,0.3110566037735864,-0.2676480209355389,0.232351979064461
2024-12,monthly,Part_2,C_301,13.031474175035868,-0.0314741750358678,0.4685258249641322,-0.8379426397424652,-0.3379426397424652,39.24645294725957,-0.24645294725957,0.25354705274043,-0.99953723180478,-0.4995372318047799
2024-12,monthly,Part_2,C_320,13.93204676351758,-0.9320467635175796,-0.4320467635175795,-0.3982625482625472,0.1017374517374527,41.30746144721234,-0.30746144721234,0.1925385527876599,-0.6573950976318983,-0.1573950976318983
2024-12,monthly,Part_2,C_400,16.206053653370986,-0.2060536533709864,0.2939463466290135,-0.7114472950362511,-0.2114472950362511,44.452558782849245,-0.4525587828492448,0.0474412171507552,-0.2866987179487168,0.2133012820512831
2025-01,monthly,Part_2,C_999,14.435403793538072,-0.4354037935380734,0.0645962064619265,-0.2986166514702546,0.2013833485297453,42.39696532481599,-0.3969653248159872,0.1030346751840127,-0.272836388792804,0.2271636112071959
2025-01,monthly,Part_2,C_100,14.810965630114566,-0.8109656301145662,-0.3109656301145662,-0.1887334820662438,0.3112665179337561,43.92909176470589,-0.9290917647058876,-0.4290917647058876,-0.6525685676969744,-0.1525685676969743
2025-01,monthly,Part_2,C_110,15.491516966067865,-0.4915169660678646,0.0084830339321353,-0.1781492131959439,0.3218507868040561,43.57782845810612,-0.5778284581061186,-0.0778284581061186,-0.6232374567473968,-0.1232374567473968
2025-01,monthly,Part_2,C_120,18.241820609837525,-0.241820609837525,0.2581793901624749,-0.7543633979015354,-0.2543633979015354,47.11574659071293,-0.1157465907129307,0.3842534092870693,-0.8320152178925397,-0.3320152178925397
2025-01,monthly,Part_2,C_130,11.642398175976783,-0.6423981759767852,-0.1423981759767851,-0.6642124638443327,-0.1642124638443327,38.3648923246825,-0.3648923246825006,0.1351076753174993,-0.027328029948535,0.472671970051465
2025-01,monthly,Part_2,C_301,13.193898367952524,-0.1938983679525225,0.3061016320474774,-0.7453616352201244,-0.2453616352201244,39.26130796670631,-0.2613079667063118,0.2386920332936881,-0.8611187845303618,-0.3611187845303618
2025-01,monthly,Part_2,C_320,14.118392687764077,-0.1183926877640768,0.3816073122359231,-0.1845339971993169,0.315466002800683,40.93338993329291,-0.933389933292908,-0.4333899332929078,-0.7166938110748973,-0.2166938110748972
2025-01,monthly,Part_2,C_400,16.48519076305221,-0.4851907630522092,0.0148092369477907,-0.9237181283272626,-0.4237181283272626,44.682905138339926,-0.682905138339926,-0.182905138339926,-0.6305721889554192,-0.1305721889554192
2025-02,monthly,Part_2,C_999,14.207862147378773,-0.2078621473787727,0.2921378526212272,-0.7975539797156408,-0.2975539797156408,42.2183233356486,-0.2183233356485985,0.2816766643514015,-0.6089838924261031,-0.108983892426103
2025-02,monthly,Part_2,C_100,14.474484256243214,-0.4744842562432136,0.0255157437567863,-0.7807459677419359,-0.2807459677419359,43.48347931138628,-0.483479311386283,0.016520688613717,-0.1514271891630372,0.3485728108369628
2025-02,monthly,Part_2,C_110,15.460467021712413,-0.4604670217124127,0.0395329782875872,-0.0052460654509118,0.4947539345490881,43.30513376717281,-0.305133767172812,0.1948662328271879,-0.0268150771565913,0.4731849228434086
2025-02,monthly,Part_2,C_120,17.92566169651138,-0.92566169651138,-0.4256616965113799,-0.3535353535353565,0.1464646464646435,46.525471836137534,-0.5254718361375339,-0.0254718361375339,-0.7598255179934412,-0.2598255179934412
