period,kind,part,code,measure,independent,primary,difference,status
2024-03,monthly,Part_2,C_301,p75,26.91178527714635,26.9117852771,4.6348702653631335e-11,VERIFIED
2024-03,monthly,Part_2,C_301,p92,43.18941017559658,43.1894101756,-3.424815986363683e-12,VERIFIED
2024-03,monthly,Part_2,C_301,p95,48.55033460803059,48.550334608,3.058886477447231e-11,VERIFIED
2024-03,monthly,Part_2,C_320,p50,14.27361804400074,14.273618044,7.407408020299044e-13,VERIFIED
2024-03,monthly,Part_2,C_320,p75,26.23090332805071,26.2309033281,-4.928679686599935e-11,VERIFIED
2024-03,monthly,Part_2,C_320,p92,41.46664893617021,41.4666489362,-2.9793056910421e-11,VERIFIED
2024-03,monthly,Part_2,C_320,p95,46.29560776302349,46.295607763,2.3490542844228912e-11,VERIFIED
2024-03,monthly,Part_2,C_400,p50,16.856493043168033,16.8564930432,-3.196731768184691e-11,VERIFIED
2024-03,monthly,Part_2,C_400,p75,29.65121340015827,29.6512134002,-4.1730174871190684e-11,VERIFIED
2024-03,monthly,Part_2,C_400,p92,43.93127003699138,43.931270037,-8.618883384770015e-12,VERIFIED
2024-03,monthly,Part_2,C_400,p95,48.02797123391369,48.0279712339,1.369215851809713e-11,VERIFIED
2024-03,monthly,Part_2,C_999,p50,14.869446544516588,14.8694465445,1.658762016631954e-11,VERIFIED
2024-03,monthly,Part_2,C_999,p75,28.049738538816207,28.0497385388,1.6207479802687885e-11,VERIFIED
2024-03,monthly,Part_2,C_999,p92,44.66963716924392,44.6696371692,4.391864649733179e-11,VERIFIED
2024-03,monthly,Part_2,C_999,p95,49.738497198671226,49.7384971987,-2.8776980798284058e-11,VERIFIED
2024-04,monthly,Part_2,C_100,p50,14.563939364493246,14.5639393645,-6.753708703399752e-12,VERIFIED
2024-04,monthly,Part_2,C_100,p75,29.357977158677972,29.3579771587,-2.2026824808563106e-11,VERIFIED
2024-04,monthly,Part_2,C_100,p92,46.34284145504463,46.342841455,4.462918923309189e-11,VERIFIED
2024-04,monthly,Part_2,C_100,p95,51.31033279656466,51.3103327966,-3.5342395676707383e-11,VERIFIED
2024-04,monthly,Part_2,C_110,p50,15.33904159929443,15.3390415993,-5.5706550483591855e-12,VERIFIED
2024-04,monthly,Part_2,C_110,p75,29.889547052913596,29.8895470529,1.3596235248769517e-11,VERIFIED
2024-04,monthly,Part_2,C_110,p92,46.72643567532884,46.7264356753,2.8833824217144866e-11,VERIFIED
2024-04,monthly,Part_2,C_110,p95,51.91641648471616,51.9164164847,1.6157741811184678e-11,VERIFIED
2024-04,monthly,Part_2,C_120,p50,17.818194760820045,17.8181947608,2.0044410575792426e-11,VERIFIED
2024-04,monthly,Part_2,C_120,p75,32.92867705608008,32.9286770561,-1.9916512883355608e-11,VERIFIED
2024-04,monthly,Part_2,C_120,p92,50.18888933520787,50.1888893352,7.865708084864309e-12,VERIFIED
2024-04,monthly,Part_2,C_120,p95,55.29946902654864,55.2994690265,4.864375569013646e-11,VERIFIED
2024-04,monthly,Part_2,C_130,p50,11.327274643064117,11.3272746431,-3.588418451272446e-11,VERIFIED
2024-04,monthly,Part_2,C_130,p75,23.991198270537367,23.9911982705,3.736744247362367e-11,VERIFIED
2024-04,monthly,Part_2,C_130,p92,40.46248190279214,40.4624819028,-7.858602657506708e-12,VERIFIED
2024-04,monthly,Part_2,C_130,p95,45.714014786242345,45.7140147862,4.234124162394437e-11,VERIFIED
2024-04,monthly,Part_2,C_301,p50,13.098412394797244,13.0984123948,-2.7569058147491887e-12,VERIFIED
2024-04,monthly,Part_2,C_301,p75,26.62547220723152,26.6254722072,3.1519675758318044e-11,VERIFIED
2024-04,monthly,Part_2,C_301,p92,42.86648355619805,42.8664835562,-1.9539925233402755e-12,VERIFIED
2024-04,monthly,Part_2,C_301,p95,47.98400383141761,47.9840038314,1.7607248992135283e-11,VERIFIED
2024-04,monthly,Part_2,C_320,p50,13.4315445026178,13.4315445026,1.780087188762991e-11,VERIFIED
2024-04,monthly,Part_2,C_320,p75,26.099474035732175,26.0994740357,3.217692778889614e-11,VERIFIED
2024-04,monthly,Part_2,C_320,p92,41.55258760107817,41.5525876011,-2.1827872842550278e-11,VERIFIED
2024-04,monthly,Part_2,C_320,p95,46.18918072289157,46.1891807229,-8.427036846114788e-12,VERIFIED
2024-04,monthly,Part_2,C_400,p50,15.954460333673817,15.9544603337,-2.6183499812759692e-11,VERIFIED
2024-04,monthly,Part_2,C_400,p75,29.998181083265965,29.9981810833,-3.40349970429088e-11,VERIFIED
2024-04,monthly,Part_2,C_400,p92,44.26891228070176,44.2689122807,1.7621459846850485e-12,VERIFIED
2024-04,monthly,Part_2,C_400,p95,48.33495260663506,48.3349526066,3.5065284009760944e-11,VERIFIED
2024-04,monthly,Part_2,C_999,p50,13.913199656343814,13.9131996563,4.381384144380718e-11,VERIFIED
2024-04,monthly,Part_2,C_999,p75,28.016324127101424,28.0163241271,1.4246381851990009e-12,VERIFIED
2024-04,monthly,Part_2,C_999,p92,44.76257426109516,44.7625742611,-4.838796030526282e-12,VERIFIED
2024-04,monthly,Part_2,C_999,p95,49.82017185234483,49.8201718523,4.482814119910472e-11,VERIFIED
2024-05,monthly,Part_2,C_100,p50,14.951223021582734,14.9512230216,-1.7266188478970435e-11,VERIFIED
2024-05,monthly,Part_2,C_100,p75,29.51544318959617,29.5154431896,-3.82982534574694e-12,VERIFIED
2024-05,monthly,Part_2,C_100,p92,46.49411764705882,46.4941176471,-4.1175951537297806e-11,VERIFIED
2024-05,monthly,Part_2,C_100,p95,51.412216446124766,51.4122164461,2.4769519768597092e-11,VERIFIED
2024-05,monthly,Part_2,C_110,p50,15.43520601165525,15.4352060117,-4.474998149817111e-11,VERIFIED
2024-05,monthly,Part_2,C_110,p75,29.978368587608266,29.9783685876,8.267164730568766e-12,VERIFIED
2024-05,monthly,Part_2,C_110,p92,47.19057511327989,47.1905751133,-2.0108359422010835e-11,VERIFIED
2024-05,monthly,Part_2,C_110,p95,52.1701519069166,52.1701519069,1.659827830735594e-11,VERIFIED
2024-05,monthly,Part_2,C_120,p50,17.62826743727834,17.6282674373,-2.1660895299646654e-11,VERIFIED
2024-05,monthly,Part_2,C_120,p75,32.970428353989995,32.970428354,-1.000444171950221e-11,VERIFIED
2024-05,monthly,Part_2,C_120,p92,50.446750718867506,50.4467507189,-3.249311930630938e-11,VERIFIED
2024-05,monthly,Part_2,C_120,p95,55.4228832951945,55.4228832952,-5.4996007747831754e-12,VERIFIED
2024-05,monthly,Part_2,C_130,p50,11.653950604632096,11.6539506046,3.2095215374283725e-11,VERIFIED
2024-05,monthly,Part_2,C_130,p75,23.882650148435715,23.8826501484,3.5715430612981436e-11,VERIFIED
2024-05,monthly,Part_2,C_130,p92,40.31643512450854,40.3164351245,8.533618256478803e-12,VERIFIED
2024-05,monthly,Part_2,C_130,p95,45.73645617667357,45.7364561767,-2.6432189770275727e-11,VERIFIED
2024-05,monthly,Part_2,C_301,p50,13.39943734503147,13.399437345,3.146993776681484e-11,VERIFIED
2024-05,monthly,Part_2,C_301,p75,26.864289446186,26.8642894462,-1.4001244608152774e-11,VERIFIED
2024-05,monthly,Part_2,C_301,p92,42.97712864250178,42.9771286425,1.7834622667578515e-12,VERIFIED
2024-05,monthly,Part_2,C_301,p95,47.907408325074314,47.9074083251,-2.5686119897727622e-11,VERIFIED
2024-05,monthly,Part_2,C_320,p50,13.858702270157432,13.8587022702,-4.25686152993876e-11,VERIFIED
2024-05,monthly,Part_2,C_320,p75,26.45659151401284,26.456591514,1.283950723518501e-11,VERIFIED
2024-05,monthly,Part_2,C_320,p92,41.82291408934708,41.8229140893,4.708056167146424e-11,VERIFIED
2024-05,monthly,Part_2,C_320,p95,46.596717284502006,46.5967172845,2.0037305148434825e-12,VERIFIED
2024-05,monthly,Part_2,C_400,p50,16.44440660650434,16.4444066065,4.341416115494212e-12,VERIFIED
2024-05,monthly,Part_2,C_400,p75,30.554012345679013,30.5540123457,-2.098587970067456e-11,VERIFIED
2024-05,monthly,Part_2,C_400,p92,44.979727891156465,44.9797278912,-4.353495342002134e-11,VERIFIED
2024-05,monthly,Part_2,C_400,p95,48.96832669322709,48.9683266932,2.709299451453262e-11,VERIFIED
2024-05,monthly,Part_2,C_999,p50,14.20351310694919,14.2035131069,4.9190873596671736e-11,VERIFIED
2024-05,monthly,Part_2,C_999,p75,28.11699657244768,28.1169965724,4.767741756950272e-11,VERIFIED
2024-05,monthly,Part_2,C_999,p92,44.950909194334365,44.9509091943,3.4361846701358445e-11,VERIFIED
2024-05,monthly,Part_2,C_999,p95,49.998513651919765,49.9985136519,1.9767298908845987e-11,VERIFIED
2024-06,monthly,Part_2,C_100,p50,14.996713388110198,14.9967133881,1.0198064614996838e-11,VERIFIED
2024-06,monthly,Part_2,C_100,p75,29.51336146272855,29.5133614627,2.8549607122840825e-11,VERIFIED
2024-06,monthly,Part_2,C_100,p92,46.62157642220699,46.6215764222,6.991740519879386e-12,VERIFIED
2024-06,monthly,Part_2,C_100,p95,51.64382826475849,51.6438282648,-4.150990662310505e-11,VERIFIED
2024-06,monthly,Part_2,C_110,p50,15.353610019646366,15.3536100196,4.636646622202534e-11,VERIFIED
2024-06,monthly,Part_2,C_110,p75,29.888824239289715,29.8888242393,-1.028510610012745e-11,VERIFIED
2024-06,monthly,Part_2,C_110,p92,47.034881960713655,47.0348819607,1.3656631381309126e-11,VERIFIED
2024-06,monthly,Part_2,C_110,p95,52.15953539284845,52.1595353928,4.844480372412363e-11,VERIFIED
2024-06,monthly,Part_2,C_120,p50,17.957843973492555,17.9578439735,-7.44648787076585e-12,VERIFIED
