period,code,within18_count_difference,middle_count_difference,total_difference,within18_pp_difference,status
2025-04,C_120,0,0,0,-0.00347871544527,PASS
2025-04,C_130,0,0,0,-0.000864298831715,PASS
2025-04,C_301,0,0,0,0.00282250041989,PASS
2025-04,C_320,0,0,0,0.000905579189286,PASS
2025-04,C_400,0,0,0,0.00378115235204,PASS
2025-05,C_100,0,0,0,-0.00310886086225,PASS
2025-05,C_110,0,0,0,-0.001289877377,PASS
2025-05,C_120,0,0,0,-0.00220917329678,PASS
2025-05,C_130,0,0,0,0.00320409264079,PASS
2025-05,C_301,0,0,0,-0.0011389707814,PASS
2025-05,C_320,0,0,0,0.00466085721857,PASS
2025-05,C_400,0,0,0,0.00262376015036,PASS
2025-06,C_100,0,0,0,0.00220679563228,PASS
2025-06,C_110,0,0,0,-0.000768498130498,PASS
2025-06,C_120,0,0,0,0.00233488489118,PASS
2025-06,C_130,0,0,0,-0.000633870224419,PASS
2025-06,C_301,0,0,0,0.00199664586604,PASS
2025-06,C_320,0,0,0,0.00310492857451,PASS
2025-06,C_400,0,0,0,0.00405508008177,PASS
2025-07,C_100,0,0,0,0.00206722008505,PASS
2025-07,C_110,0,0,0,-0.003638644267,PASS
2025-07,C_120,0,0,0,0.00208476517755,PASS
2025-07,C_130,0,0,0,0.00300130289489,PASS
2025-07,C_301,0,0,0,0.00190700255007,PASS
2025-07,C_320,0,0,0,0.000472423099907,PASS
2025-07,C_400,0,0,0,-0.000396996642067,PASS
2025-08,C_100,0,0,0,0.00206301044274,PASS
2025-08,C_110,0,0,0,0.00441538592667,PASS
2025-08,C_120,0,0,0,-0.00351301079476,PASS
2025-08,C_130,0,0,0,0.0034247680791,PASS
2025-08,C_301,0,0,0,-0.000908628621531,PASS
2025-08,C_320,0,0,0,0.00118163928662,PASS
2025-08,C_400,0,0,0,-0.000273803819567,PASS
2025-09,C_100,0,0,0,9.34650648929e-05,PASS
2025-09,C_110,0,0,0,-0.00273887311019,PASS
2025-09,C_120,0,0,0,-0.00236831835164,PASS
2025-09,C_130,0,0,0,-0.00121388086853,PASS
2025-09,C_301,0,0,0,-0.00314779543676,PASS
2025-09,C_320,0,0,0,0.00422052546762,PASS
2025-09,C_400,0,0,0,0.00335474247449,PASS
2025-10,C_100,0,0,0,-0.00131902741556,PASS
2025-10,C_110,0,0,0,-0.00313925518513,PASS
2025-10,C_120,0,0,0,-0.00414835155886,PASS
2025-10,C_130,0,0,0,0.000569201444065,PASS
2025-10,C_301,0,0,0,-0.00412291344182,PASS
2025-10,C_320,0,0,0,-0.00166176808326,PASS
2025-10,C_400,0,0,0,0.00321329452379,PASS
2025-11,C_100,0,0,0,-0.00437105268679,PASS
2025-11,C_110,0,0,0,-0.000800900390459,PASS
2025-11,C_120,0,0,0,-0.000353483597848,PASS
2025-11,C_130,0,0,0,-0.000853013982734,PASS
2025-11,C_301,0,0,0,-0.00491890624667,PASS
2025-11,C_320,0,0,0,-0.00311388234312,PASS
2025-11,C_400,0,0,0,-0.00066202992916,PASS
2025-12,C_100,0,0,0,-0.00406787222343,PASS
2025-12,C_110,0,0,0,0.00472179980955,PASS
2025-12,C_120,0,0,0,-0.00274917656317,PASS
2025-12,C_130,0,0,0,0.00460416074094,PASS
2025-12,C_301,0,0,0,-0.00396827187144,PASS
2025-12,C_320,0,0,0,0.00325384203626,PASS
2025-12,C_400,0,0,0,-0.00298654635095,PASS
2026-01,C_100,0,0,0,0.00427541262162,PASS
2026-01,C_110,0,0,0,0.00214727211019,PASS
2026-01,C_120,0,0,0,0.000757989562224,PASS
2026-01,C_130,0,0,0,-0.0032842525162,PASS
2026-01,C_301,0,0,0,0.00320129919297,PASS
2026-01,C_320,0,0,0,0.00275854879066,PASS
2026-01,C_400,0,0,0,-0.00338295837319,PASS
2026-02,C_100,0,0,0,-0.00010311715095,PASS
2026-02,C_110,0,0,0,0.000282394469778,PASS
2026-02,C_120,0,0,0,-0.00272628049674,PASS
2026-02,C_130,0,0,0,-0.00220545335874,PASS
2026-02,C_301,0,0,0,0.00175445820533,PASS
2026-02,C_320,0,0,0,4.54892254851e-05,PASS
2026-02,C_400,0,0,0,0.00376991763709,PASS
2026-03,C_100,0,0,0,-0.00456592699705,PASS
2026-03,C_110,0,0,0,-0.00104899370785,PASS
2026-03,C_120,0,0,0,-0.00134105954547,PASS
2026-03,C_130,0,0,0,-0.00176685547233,PASS
2026-03,C_301,0,0,0,0.00207886811721,PASS
2026-03,C_320,0,0,0,-0.000731532744169,PASS
2026-03,C_400,0,0,0,0.00324251898169,PASS
2026-04,C_100,0,0,0,0.00495704647362,PASS
2026-04,C_110,0,0,0,-0.00403381421573,PASS
2026-04,C_120,0,0,0,0.00179874141137,PASS
2026-04,C_130,0,0,0,-0.00110697747532,PASS
2026-04,C_301,0,0,0,-0.00256502044211,PASS
2026-04,C_320,0,0,0,0.0025026566214,PASS
2026-04,C_400,0,0,0,0.00416700942132,PASS
2026-05,C_100,0,0,0,-0.000987871464254,PASS
2026-05,C_110,0,0,0,-0.00342625247597,PASS
2026-05,C_120,0,0,0,0.00447694971321,PASS
2026-05,C_130,0,0,0,-0.00208442815489,PASS
2026-05,C_301,0,0,0,-0.00228316943524,PASS
2026-05,C_320,0,0,0,0.0019705566023,PASS
2026-05,C_400,0,0,0,0.00298008969992,PASS
