period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2024-10,Part_2,monthly,C_400,Neurology,revised-or-established,234414,127401,98515,8498,1,0.999995734043,0.543487163736,0.42026073528,0.0362521009837,16.1530431706,16,29.4244484739,29,45.2640826365,45,49.5065677966,49,27.2640826365
2024-10,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7541371,4444500,2861957,234914,148,0.999980374921,0.589349071939,0.379500889162,0.0311500388988,14.2277888281,14,26.8616346093,26,42.3644639644,42,48.0690445043,48,24.3644639644
2024-11,Part_2,monthly,C_100,General surgery,revised-or-established,409066,237867,156502,14697,9,0.99997799866,0.581488072829,0.382583739543,0.0359281876274,14.4188913797,14,27.6454604096,27,43.6507138264,43,49.090806293,49,25.6507138264
2024-11,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,853875,497556,324334,31985,27,0.999968379447,0.582703557312,0.379837798273,0.0374586444152,14.4773289561,14,27.2739708561,27,43.4902736564,43,49.2823566879,49,25.4902736564
2024-11,Part_2,monthly,C_120,ENT,revised-or-established,633270,311915,293203,28152,4,0.999993683579,0.492546623083,0.462998405104,0.044454971813,18.3528444345,18,32.0122515253,32,46.0353663214,46,51.0764071541,51,28.0353663214
2024-11,Part_2,monthly,C_130,Ophthalmology,revised-or-established,583645,388707,184994,9944,10,0.999982866297,0.665999023379,0.316963222507,0.0170377541142,11.0174772477,11,22.6867935916,22,37.7664604224,37,42.4522171254,42,19.7664604224
2024-11,Part_2,monthly,C_301,Gastroenterology,revised-or-established,392808,246015,139158,7635,4,0.999989816908,0.626298344229,0.354264678927,0.0194369768436,12.6534262912,12,24.598188194,24,39.2054991597,39,44.0094185488,44,21.2054991597
2024-11,Part_2,monthly,C_320,Cardiology,revised-or-established,411612,244919,157039,9654,5,0.999987852638,0.595023954598,0.3815219187,0.0234541267018,13.9568258562,13,26.1241629998,26,40.9344383728,40,45.4599739244,45,22.9344383728
2024-11,Part_2,monthly,C_400,Neurology,revised-or-established,234563,127977,98503,8083,1,0.999995736753,0.545597558012,0.419942616696,0.0344598252921,15.9974079371,15,29.2458568406,29,43.996778032,43,48.9738167939,48,25.996778032
2024-11,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7479867,4424701,2833599,221567,151,0.999979812475,0.591548085013,0.378830131605,0.029621783382,13.997676016,13,26.8280681326,26,42.2320457238,42,46.6971043524,46,24.2320457238
2024-12,Part_2,monthly,C_100,General surgery,revised-or-established,407980,235553,158689,13738,8,0.999980391196,0.577364086475,0.38896269425,0.0336732192755,14.6730899584,14,28.1158466349,28,44.2119352664,44,48.7325189553,48,26.2119352664
2024-12,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,853202,489190,334808,29204,30,0.999964838338,0.573357774595,0.392413519893,0.0342287055117,14.9994683914,14,27.9327136409,27,43.9893333333,43,48.7452993211,48,25.9893333333
2024-12,Part_2,monthly,C_120,ENT,revised-or-established,633387,311845,295393,26149,5,0.999992105932,0.492345122334,0.466370481238,0.0412843964275,18.4886615602,18,32.7221316819,32,46.7869448685,46,50.5101985981,50,28.7869448685
2024-12,Part_2,monthly,C_130,Ophthalmology,revised-or-established,589336,393427,186423,9486,5,0.999991515875,0.667576730422,0.316327188565,0.0160960810132,11.5153090104,11,22.9859995659,22,38.1889433962,38,43.2676480209,43,20.1889433962
2024-12,Part_2,monthly,C_301,Gastroenterology,revised-or-established,396642,248013,141594,7035,13,0.999967224853,0.625281740209,0.356981862738,0.0177363970533,13.031474175,13,24.8379426397,24,39.2464529473,39,43.9995372318,43,21.2464529473
2024-12,Part_2,monthly,C_320,Cardiology,revised-or-established,412953,247292,156842,8819,2,0.999995156834,0.598838124435,0.379805934332,0.021355941233,13.9320467635,13,26.3982625483,26,41.3074614472,41,45.6573950976,45,23.3074614472
2024-12,Part_2,monthly,C_400,Neurology,revised-or-established,233555,126510,99960,7085,0,1,0.541671126715,0.427993406264,0.0303354670206,16.2060536534,16,29.711447295,29,44.4525587828,44,48.2866987179,48,26.4525587828
2024-12,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7463085,4398544,2864139,200402,155,0.999979231109,0.589373429353,0.383774136299,0.0268524343485,14.2134938307,14,27.2634904844,27,42.7349585289,42,47.1780112238,47,24.7349585289
2025-01,Part_2,monthly,C_100,General surgery,revised-or-established,406921,234847,158945,13129,7,0.999982797644,0.577131679122,0.390604073026,0.0322642478515,14.8109656301,14,28.1887334821,28,43.9290917647,43,48.6525685677,48,25.9290917647
2025-01,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,847963,479617,339895,28451,29,0.999965800395,0.565610763677,0.400837064825,0.033552171498,15.4915169661,15,28.1781492132,28,43.5778284581,43,48.6232374567,48,25.5778284581
2025-01,Part_2,monthly,C_120,ENT,revised-or-established,637631,315556,295431,26644,7,0.999989021864,0.494888109267,0.463325967527,0.0417859232064,18.2418206098,18,32.7543633979,32,47.1157465907,47,50.8320152179,50,29.1157465907
2025-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,579892,387020,183671,9201,2,0.999996551082,0.667400136577,0.316733115822,0.0158667476013,11.642398176,11,22.6642124638,22,38.3648923247,38,43.0273280299,43,20.3648923247
2025-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,395862,247323,141442,7097,3,0.999992421601,0.624770753444,0.35730128176,0.0179279647958,13.193898368,13,24.7453616352,24,39.2613079667,39,43.8611187845,43,21.2613079667
2025-01,Part_2,monthly,C_320,Cardiology,revised-or-established,415196,250129,156241,8826,2,0.999995182998,0.602435957957,0.376306611817,0.0212574302257,14.1183926878,14,26.1845339972,26,40.9333899333,40,45.7166938111,45,22.9333899333
2025-01,Part_2,monthly,C_400,Neurology,revised-or-established,232985,125291,100422,7272,0,1,0.537764233749,0.431023456446,0.0312123098054,16.4851907631,16,29.9237181283,29,44.6829051383,44,48.630572189,48,26.6829051383
2025-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7427669,4371844,2856997,198828,139,0.999981286188,0.588588963779,0.384642476664,0.0267685595575,14.4354037935,14,27.2986166515,27,42.3969653248,42,47.2728363888,47,24.3969653248
2025-02,Part_2,monthly,C_100,General surgery,revised-or-established,407640,237157,157824,12659,31,0.999923952507,0.581780492592,0.387165145717,0.0310543616917,14.4744842562,14,27.7807459677,27,43.4834793114,43,48.1514271892,48,25.4834793114
2025-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,841700,473041,342011,26648,20,0.999976238565,0.562006653202,0.40633361055,0.0316597362481,15.4604670217,15,28.0052460655,28,43.3051337672,43,48.0268150772,48,25.3051337672
2025-02,Part_2,monthly,C_120,ENT,revised-or-established,634084,318084,289610,26390,7,0.999988960453,0.501643315397,0.456737593126,0.0416190914768,17.9256616965,17,32.3535353535,32,46.5254718361,46,50.759825518,50,28.5254718361
2025-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,582395,392636,180533,9226,2,0.999996565905,0.674174743945,0.309983773899,0.0158414821556,11.2842695363,11,22.0231357655,22,38.0458394161,38,43.0441087155,43,20.0458394161
2025-02,Part_2,monthly,C_301,Gastroenterology,revised-or-established,394200,246268,141490,6442,2,0.999994926433,0.624728564181,0.358929477423,0.0163419583968,13.1822194199,13,24.347648571,24,38.8802194453,38,43.5464654488,43,20.8802194453
2025-02,Part_2,monthly,C_320,Cardiology,revised-or-established,411581,248491,154918,8172,3,0.999992711034,0.603747500492,0.376397355563,0.0198551439449,14.0074438447,14,25.5736596915,25,40.4983709869,40,44.9259355096,44,22.4983709869
2025-02,Part_2,monthly,C_400,Neurology,revised-or-established,229775,123341,99211,7223,0,1,0.536790338374,0.431774562072,0.0314350995539,16.4677390686,16,29.761065211,29,44.1379139891,44,48.4887339056,48,26.1379139891
2025-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7401153,4379951,2827677,193525,161,0.999978246633,0.591793062513,0.382058984593,0.0261479528933,14.2078621474,14,26.7975539797,26,42.2183233356,42,46.6089838924,46,24.2183233356
2025-03,Part_2,monthly,C_100,General surgery,revised-or-established,403986,238183,154420,11383,16,0.999960394667,0.589582312258,0.382240968746,0.0281767189952,14.097513358,14,27.1173951049,27,42.7964505979,42,47.4733532934,47,24.7964505979
2025-03,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,843066,478393,341038,23635,21,0.999975090918,0.567444304479,0.404521116971,0.0280345785502,15.2611134682,15,27.4672290468,27,42.7757883969,42,47.4329070929,47,24.7757883969
2025-03,Part_2,monthly,C_120,ENT,revised-or-established,637737,324966,287664,25107,5,0.999992159777,0.509561151384,0.45106995517,0.0393688934467,17.5771791138,17,31.5950511322,31,46.2527509143,46,50.09519082,50,28.2527509143
2025-03,Part_2,monthly,C_130,Ophthalmology,revised-or-established,586084,399949,177650,8485,6,0.99998976256,0.682409006218,0.303113546864,0.0144774469189,9.90406079316,9,21.6743241799,21,37.5505670479,37,42.5430869162,42,19.5505670479
2025-03,Part_2,monthly,C_301,Gastroenterology,revised-or-established,395202,247353,141540,6309,6,0.999984817891,0.625890051164,0.3581459608,0.0159639880365,12.3628643853,12,24.5066229985,24,38.8685194479,38,43.3235530951,43,20.8685194479
2025-03,Part_2,monthly,C_320,Cardiology,revised-or-established,415194,252962,154383,7849,4,0.999990365949,0.609262176236,0.371833407997,0.0189044157671,13.651520328,13,25.2982804233,25,40.156622167,40,44.6794736842,44,22.156622167
2025-03,Part_2,monthly,C_400,Neurology,revised-or-established,226120,122232,97643,6245,1,0.999995577569,0.540562533168,0.431819387936,0.0276180788962,16.3364519611,16,29.0132508834,29,43.7568812758,43,47.7925636008,47,25.7568812758
2025-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7418598,4434722,2803633,180243,147,0.999980184935,0.597784379205,0.377919520643,0.0242961001526,13.8204404415,13,26.283037986,26,41.8904778843,41,46.418821115,46,23.8904778843
2025-04,Part_2,monthly,C_100,General surgery,revised-or-established,397004,234740,150529,11735,19,0.99995214154,0.591278677293,0.379162426575,0.029558896132,13.4779785432,13,27.3740379682,27,43.1448314216,43,47.6498030635,47,25.1448314216
2025-04,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,844120,477639,341886,24595,28,0.999966829361,0.565842534237,0.405020613183,0.0291368525802,14.5223099441,14,28.0090302019,28,43.2269553975,43,47.6265835512,47,25.2269553975
2025-04,Part_2,monthly,C_120,ENT,revised-or-established,638914,325185,287060,26669,6,0.999990609065,0.508965212846,0.449293645154,0.0417411420003,17.0938142699,17,31.4070093458,31,46.7241527446,46,50.6241650295,50,28.7241527446
2025-04,Part_2,monthly,C_130,Ophthalmology,revised-or-established,588639,405214,174139,9286,5,0.99999150583,0.688391357012,0.295833269627,0.0157753733613,10.2044228695,10,21.6600322614,21,37.2607055215,37,42.5137691002,42,19.2607055215
2025-04,Part_2,monthly,C_301,Gastroenterology,revised-or-established,387015,241934,138243,6838,10,0.999974161208,0.625128225004,0.357203209178,0.0176685658179,12.5730438521,12,24.8228082624,24,39.3467274503,39,43.8209327549,43,21.3467274503
2025-04,Part_2,monthly,C_320,Cardiology,revised-or-established,409020,247379,153940,7701,1,0.999997555132,0.604809055792,0.376363014034,0.0188279301746,13.2344253947,13,25.5163477475,25,40.3442963926,40,44.7254428341,44,22.3442963926
2025-04,Part_2,monthly,C_400,Neurology,revised-or-established,223699,120448,96629,6622,0,1,0.538437811524,0.431959910415,0.0296022780611,15.6458033141,15,29.2693370166,29,44.0908568497,44,48.1579417293,48,26.0908568497
2025-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7389065,4413682,2785360,190023,171,0.999976857694,0.59732618403,0.376957030423,0.0257167855473,13.258164625,13,26.5910745939,26,42.2618071861,42,46.714317912,46,24.2618071861
2025-05,Part_2,monthly,C_100,General surgery,revised-or-established,394228,237313,145447,11468,17,0.999956877746,0.601968911391,0.368941323295,0.0290897653135,13.8415274911,13,27.4243726366,27,43.2146726706,43,47.7619380183,47,25.2146726706
2025-05,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,843398,489666,328571,25161,27,0.999967986645,0.580587101226,0.389580008489,0.0298328902843,14.7098062129,14,28.1639017137,28,43.5733798573,43,48.0651628521,48,25.5733798573
2025-05,Part_2,monthly,C_120,ENT,revised-or-established,636238,328412,279296,28530,4,0.999993713044,0.516177908267,0.438980381555,0.0448417101776,17.3088235294,17,31.768801502,31,47.076945426,47,51.2043878788,51,29.076945426
2025-05,Part_2,monthly,C_130,Ophthalmology,revised-or-established,589546,414116,165881,9549,3,0.999994911339,0.702432040926,0.281370749696,0.0161972093781,10.5848810215,10,20.5588111961,20,36.946696187,36,42.3877129395,42,18.946696187
