period,part,kind,code,name,release,percentile,linear,lower_bound,midpoint,upper_bound,lower_minus_linear,midpoint_minus_linear
2024-02,Part_2,monthly,C_320,Cardiology,revised-or-established,50,14.1242443382,14,14.5,15,-0.124244338176,0.375755661824
2024-02,Part_2,monthly,C_320,Cardiology,revised-or-established,75,25.9422869471,25,25.5,26,-0.942286947141,-0.442286947141
2024-02,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.0672945892,41,41.5,42,-0.0672945891784,0.432705410822
2024-02,Part_2,monthly,C_320,Cardiology,revised-or-established,95,45.9325206992,45,45.5,46,-0.932520699172,-0.432520699172
2024-02,Part_2,monthly,C_400,Neurology,revised-or-established,50,16.563042028,16,16.5,17,-0.563042028019,-0.0630420280187
2024-02,Part_2,monthly,C_400,Neurology,revised-or-established,75,29.5114822547,29,29.5,30,-0.511482254697,-0.0114822546973
2024-02,Part_2,monthly,C_400,Neurology,revised-or-established,92,43.6113977205,43,43.5,44,-0.611397720456,-0.111397720456
2024-02,Part_2,monthly,C_400,Neurology,revised-or-established,95,48.3704797048,48,48.5,49,-0.370479704797,0.129520295203
2024-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,14.8694465445,14,14.5,15,-0.869446544517,-0.369446544517
2024-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,28.0497385388,28,28.5,29,-0.0497385388162,0.450261461184
2024-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,44.6696371692,44,44.5,45,-0.669637169244,-0.169637169244
2024-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,49.7384971987,49,49.5,50,-0.738497198671,-0.238497198671
2024-03,Part_2,monthly,C_100,General surgery,revised-or-established,50,15.5867421096,15,15.5,16,-0.586742109635,-0.0867421096346
2024-03,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.5042544229,29,29.5,30,-0.504254422915,-0.00425442291491
2024-03,Part_2,monthly,C_100,General surgery,revised-or-established,92,46.3215881262,46,46.5,47,-0.32158812616,0.17841187384
2024-03,Part_2,monthly,C_100,General surgery,revised-or-established,95,51.9596327684,51,51.5,52,-0.959632768362,-0.459632768362
2024-03,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,16.4293242562,16,16.5,17,-0.429324256178,0.0706757438225
2024-03,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.8023754056,29,29.5,30,-0.802375405608,-0.302375405608
2024-03,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,46.6356073474,46,46.5,47,-0.635607347422,-0.135607347422
2024-03,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,52.329462972,52,52.5,53,-0.329462972045,0.170537027955
2024-03,Part_2,monthly,C_120,ENT,revised-or-established,50,18.4812509101,18,18.5,19,-0.48125091015,0.01874908985
2024-03,Part_2,monthly,C_120,ENT,revised-or-established,75,33.5773059253,33,33.5,34,-0.577305925315,-0.0773059253151
2024-03,Part_2,monthly,C_120,ENT,revised-or-established,92,49.856855151,49,49.5,50,-0.856855151046,-0.356855151046
2024-03,Part_2,monthly,C_120,ENT,revised-or-established,95,54.6158890116,54,54.5,55,-0.615889011596,-0.115889011596
2024-03,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,11.2310857143,11,11.5,12,-0.231085714286,0.268914285714
2024-03,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,24.1449017011,24,24.5,25,-0.144901701131,0.355098298869
2024-03,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.5795094863,40,40.5,41,-0.579509486349,-0.0795094863489
2024-03,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.5673344948,45,45.5,46,-0.567334494774,-0.0673344947735
2024-03,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,14.0621964097,14,14.5,15,-0.0621964097149,0.437803590285
2024-03,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,26.9117852771,26,26.5,27,-0.911785277146,-0.411785277146
2024-03,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,43.1894101756,43,43.5,44,-0.189410175597,0.310589824403
2024-03,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,48.550334608,48,48.5,49,-0.550334608031,-0.0503346080306
2024-03,Part_2,monthly,C_320,Cardiology,revised-or-established,50,14.273618044,14,14.5,15,-0.273618044001,0.226381955999
2024-03,Part_2,monthly,C_320,Cardiology,revised-or-established,75,26.2309033281,26,26.5,27,-0.230903328051,0.269096671949
2024-03,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.4666489362,41,41.5,42,-0.46664893617,0.0333510638298
2024-03,Part_2,monthly,C_320,Cardiology,revised-or-established,95,46.295607763,46,46.5,47,-0.295607763023,0.204392236977
2024-03,Part_2,monthly,C_400,Neurology,revised-or-established,50,16.8564930432,16,16.5,17,-0.856493043168,-0.356493043168
2024-03,Part_2,monthly,C_400,Neurology,revised-or-established,75,29.6512134002,29,29.5,30,-0.651213400158,-0.151213400158
2024-03,Part_2,monthly,C_400,Neurology,revised-or-established,92,43.931270037,43,43.5,44,-0.931270036991,-0.431270036991
2024-03,Part_2,monthly,C_400,Neurology,revised-or-established,95,48.0279712339,48,48.5,49,-0.0279712339137,0.472028766086
2024-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,13.9131996563,13,13.5,14,-0.913199656344,-0.413199656344
2024-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,28.0163241271,28,28.5,29,-0.0163241271014,0.483675872899
2024-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,44.7625742611,44,44.5,45,-0.762574261095,-0.262574261095
2024-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,49.8201718523,49,49.5,50,-0.820171852345,-0.320171852345
2024-04,Part_2,monthly,C_100,General surgery,revised-or-established,50,14.5639393645,14,14.5,15,-0.563939364493,-0.0639393644932
2024-04,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.3579771587,29,29.5,30,-0.357977158678,0.142022841322
2024-04,Part_2,monthly,C_100,General surgery,revised-or-established,92,46.342841455,46,46.5,47,-0.342841455045,0.157158544955
2024-04,Part_2,monthly,C_100,General surgery,revised-or-established,95,51.3103327966,51,51.5,52,-0.310332796565,0.189667203435
2024-04,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,15.3390415993,15,15.5,16,-0.339041599294,0.160958400706
2024-04,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.8895470529,29,29.5,30,-0.889547052914,-0.389547052914
2024-04,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,46.7264356753,46,46.5,47,-0.726435675329,-0.226435675329
2024-04,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,51.9164164847,51,51.5,52,-0.916416484716,-0.416416484716
2024-04,Part_2,monthly,C_120,ENT,revised-or-established,50,17.8181947608,17,17.5,18,-0.81819476082,-0.31819476082
2024-04,Part_2,monthly,C_120,ENT,revised-or-established,75,32.9286770561,32,32.5,33,-0.92867705608,-0.42867705608
2024-04,Part_2,monthly,C_120,ENT,revised-or-established,92,50.1888893352,50,50.5,51,-0.188889335208,0.311110664792
2024-04,Part_2,monthly,C_120,ENT,revised-or-established,95,55.2994690265,55,55.5,56,-0.299469026549,0.200530973451
2024-04,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,11.3272746431,11,11.5,12,-0.327274643064,0.172725356936
2024-04,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,23.9911982705,23,23.5,24,-0.991198270537,-0.491198270537
2024-04,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.4624819028,40,40.5,41,-0.462481902792,0.0375180972079
2024-04,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.7140147862,45,45.5,46,-0.714014786242,-0.214014786242
2024-04,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,13.0984123948,13,13.5,14,-0.0984123947972,0.401587605203
2024-04,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,26.6254722072,26,26.5,27,-0.625472207232,-0.125472207232
2024-04,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,42.8664835562,42,42.5,43,-0.866483556198,-0.366483556198
2024-04,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,47.9840038314,47,47.5,48,-0.984003831418,-0.484003831418
2024-04,Part_2,monthly,C_320,Cardiology,revised-or-established,50,13.4315445026,13,13.5,14,-0.431544502618,0.0684554973822
2024-04,Part_2,monthly,C_320,Cardiology,revised-or-established,75,26.0994740357,26,26.5,27,-0.0994740357322,0.400525964268
2024-04,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.5525876011,41,41.5,42,-0.552587601078,-0.0525876010782
2024-04,Part_2,monthly,C_320,Cardiology,revised-or-established,95,46.1891807229,46,46.5,47,-0.189180722892,0.310819277108
2024-04,Part_2,monthly,C_400,Neurology,revised-or-established,50,15.9544603337,15,15.5,16,-0.954460333674,-0.454460333674
2024-04,Part_2,monthly,C_400,Neurology,revised-or-established,75,29.9981810833,29,29.5,30,-0.998181083266,-0.498181083266
2024-04,Part_2,monthly,C_400,Neurology,revised-or-established,92,44.2689122807,44,44.5,45,-0.268912280702,0.231087719298
2024-04,Part_2,monthly,C_400,Neurology,revised-or-established,95,48.3349526066,48,48.5,49,-0.334952606635,0.165047393365
2024-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,14.2035131069,14,14.5,15,-0.203513106949,0.296486893051
2024-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,28.1169965724,28,28.5,29,-0.116996572448,0.383003427552
2024-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,44.9509091943,44,44.5,45,-0.950909194334,-0.450909194334
2024-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,49.9985136519,49,49.5,50,-0.99851365192,-0.49851365192
