period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,286,0.92,51.2222222222222,51.22222222222222,51,2.1316282072803006e-14
2024-01,Sub-ICB,287,0.5,20.0,20.0,19,0.0
2024-01,Sub-ICB,287,0.92,32.56,32.56,32,0.0
2024-01,Sub-ICB,288,0.5,17.0228758169935,17.022875816993466,17,-3.552713678800501e-14
2024-01,Sub-ICB,288,0.92,38.4266666666667,38.42666666666667,38,-2.842170943040401e-14
2024-01,Sub-ICB,289,0.5,13.2627986348123,13.262798634812286,13,-1.4210854715202004e-14
2024-01,Sub-ICB,289,0.92,42.1473170731708,42.147317073170754,42,-4.263256414560601e-14
2024-01,Sub-ICB,290,0.5,15.024861878453,15.024861878453038,15,3.730349362740526e-14
2024-01,Sub-ICB,290,0.92,39.0361290322581,39.036129032258074,39,-2.842170943040401e-14
2024-01,Sub-ICB,291,0.5,13.0975308641975,13.09753086419753,13,3.019806626980426e-14
2024-01,Sub-ICB,291,0.92,35.4796460176991,35.479646017699125,35,2.1316282072803006e-14
2024-01,Sub-ICB,292,0.5,14.697619047619,14.697619047619048,14,4.796163466380676e-14
2024-01,Sub-ICB,292,0.92,41.5972727272727,41.597272727272745,41,4.263256414560601e-14
2024-01,Sub-ICB,293,0.5,17.4675675675676,17.467567567567567,17,-3.197442310920451e-14
2024-01,Sub-ICB,293,0.92,43.9430303030303,43.9430303030303,43,0.0
2024-01,Sub-ICB,294,0.5,10.2604166666667,10.260416666666666,10,-3.375077994860476e-14
2024-01,Sub-ICB,294,0.92,30.5944444444444,30.59444444444445,30,4.973799150320701e-14
2024-01,Sub-ICB,295,0.5,12.75,12.75,12,0.0
2024-01,Sub-ICB,295,0.92,30.3011764705882,30.301176470588242,30,4.263256414560601e-14
2024-01,Sub-ICB,296,0.5,15.9974576271186,15.997457627118644,15,4.440892098500626e-14
2024-01,Sub-ICB,296,0.92,43.9117073170732,43.91170731707317,43,-2.842170943040401e-14
2024-01,Sub-ICB,297,0.5,11.6293199554069,11.629319955406912,11,1.2434497875801753e-14
2024-01,Sub-ICB,297,0.92,36.0024844720497,36.0024844720497,36,0.0
2024-01,Sub-ICB,298,0.5,5.5,5.5,5,0.0
2024-01,Sub-ICB,298,0.92,33.76,33.760000000000005,33,7.105427357601002e-15
2024-01,Sub-ICB,299,0.5,14.65,14.65,14,0.0
2024-01,Sub-ICB,299,0.92,45.004262295082,45.00426229508197,45,-2.842170943040401e-14
2024-01,Sub-ICB,300,0.5,16.2630597014925,16.263059701492537,16,3.552713678800501e-14
2024-01,Sub-ICB,300,0.92,45.2623776223776,45.26237762237763,45,2.842170943040401e-14
2024-01,Sub-ICB,301,0.5,16.7137096774194,16.713709677419356,16,-4.263256414560601e-14
2024-01,Sub-ICB,301,0.92,37.4936,37.49360000000001,37,7.105427357601002e-15
2024-01,Sub-ICB,302,0.5,15.8950744727916,15.895074472791624,15,2.3092638912203256e-14
2024-01,Sub-ICB,302,0.92,44.2448110697179,44.24481106971793,44,3.552713678800501e-14
2024-01,Sub-ICB,303,0.5,16.7961538461538,16.796153846153846,16,4.618527782440651e-14
2024-01,Sub-ICB,303,0.92,52.2376470588235,52.237647058823526,52,2.842170943040401e-14
2024-01,Sub-ICB,304,0.5,17.6514522821577,17.651452282157678,17,-2.1316282072803006e-14
2024-01,Sub-ICB,304,0.92,54.2210810810811,54.22108108108109,54,-1.4210854715202004e-14
2024-01,Sub-ICB,305,0.5,13.6445012787724,13.644501278772378,13,-2.3092638912203256e-14
2024-01,Sub-ICB,305,0.92,40.6812371134021,40.68123711340206,40,-3.552713678800501e-14
2024-01,Sub-ICB,306,0.5,17.3381088825215,17.33810888252149,17,-1.0658141036401503e-14
2024-01,Sub-ICB,306,0.92,48.3232835820896,48.323283582089566,48,-3.552713678800501e-14
2024-01,Sub-ICB,307,0.5,9.46021505376344,9.460215053763442,9,1.7763568394002505e-15
2024-01,Sub-ICB,307,0.92,29.4715492957746,29.471549295774643,29,4.263256414560601e-14
2024-01,Sub-ICB,308,0.5,14.3938053097345,14.393805309734514,14,1.4210854715202004e-14
