period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,74,75,False,2108,0.000276528610938,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,76,False,1676,0.000219858610974,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,76,77,False,1478,0.00019388486099,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,77,78,False,1181,0.000154924236014,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,78,79,False,532,6.97880555119e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,79,80,False,414,5.43087499661e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,80,81,False,344,4.51261110829e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,81,82,False,303,3.97477083085e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,82,83,False,105,1.37739583247e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,83,84,False,68,8.9202777722e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,84,85,False,117,1.53481249904e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,85,86,False,114,1.4954583324e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,86,87,False,114,1.4954583324e-05,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,87,88,False,70,9.18263888315e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,88,89,False,72,9.4449999941e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,89,90,False,66,8.65791666126e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,90,91,False,54,7.08374999557e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,91,92,False,44,5.77194444084e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,93,False,33,4.32895833063e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,93,94,False,28,3.67305555326e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,94,95,False,43,5.64076388536e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,96,False,19,2.492430554e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,96,97,False,17,2.23006944305e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,97,98,False,19,2.492430554e-06,over52
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,98,99,False,22,2.88597222042e-06,over52
