period,kind,part,code,total,within18_count,middle_count,over52_count,within18_share,middle_share,over52_share,open_count,closed_share,band_count,first_release,p50,p50_band_lower,p50_midpoint,p50_lower_shift,p50_midpoint_shift,p75,p75_band_lower,p75_midpoint,p75_lower_shift,p75_midpoint_shift,p92,p92_band_lower,p92_midpoint,p92_lower_shift,p92_midpoint_shift,p95,p95_band_lower,p95_midpoint,p95_lower_shift,p95_midpoint_shift,gap_weeks,date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name,count_difference,percentage_difference_after_rounding,middle_count_difference
2025-04,monthly,Part_2,C_100,397004,234740,150529,11735,0.591278677292924,0.3791624265750471,0.0295588961320288,19,0.9999521415401356,105,False,13.477978543195936,13,13.5,-0.4779785431959347,0.0220214568040653,27.374037968188816,27,27.5,-0.3740379681888157,0.1259620318111842,43.14483142161974,43,43.5,-0.1448314216197417,0.3551685783802583,47.64980306345733,47,47.5,-0.6498030634573269,-0.1498030634573268,25.14483142161974,2025-04-01,RTT-April-2025,C_100,397004.0,234740.0,150529.0,11735.0,59.13,2.96,General Surgery,0.0,0.0,0.0
2025-04,monthly,Part_2,C_110,844120,477639,341886,24595,0.5658425342368384,0.4050206131829598,0.0291368525802018,28,0.9999668293607544,105,False,14.522309944114255,14,14.5,-0.5223099441142551,-0.0223099441142551,28.00903020185157,28,28.5,-0.0090302018515693,0.4909697981484306,43.226955397543634,43,43.5,-0.2269553975436338,0.2730446024563662,47.62658355117635,47,47.5,-0.6265835511763527,-0.1265835511763526,25.22695539754363,2025-04-01,RTT-April-2025,C_110,844120.0,477639.0,341886.0,24595.0,56.58,2.91,Trauma & Orthopaedics,0.0,0.0,0.0
2025-04,monthly,Part_2,C_120,638914,325185,287060,26669,0.5089652128455473,0.4492936451541209,0.0417411420003318,6,0.9999906090647568,105,False,17.093814269894004,17,17.5,-0.0938142698940041,0.4061857301059959,31.407009345794393,31,31.5,-0.4070093457943926,0.0929906542056073,46.724152744630075,46,46.5,-0.7241527446300751,-0.224152744630075,50.62416502946953,50,50.5,-0.6241650294695305,-0.1241650294695304,28.724152744630075,2025-04-01,RTT-April-2025,C_120,638914.0,325185.0,287060.0,26669.0,50.9,4.17,ENT,0.0,0.0,0.0
2025-04,monthly,Part_2,C_130,588639,405214,174139,9286,0.6883913570116829,0.295833269627055,0.0157753733612621,5,0.9999915058295492,105,False,10.204422869471411,10,10.5,-0.2044228694714132,0.2955771305285868,21.660032261421584,21,21.5,-0.6600322614215841,-0.1600322614215841,37.2607055214724,37,37.5,-0.2607055214723957,0.2392944785276043,42.51376910016975,42,42.5,-0.5137691001697533,-0.0137691001697533,19.260705521472396,2025-04-01,RTT-April-2025,C_130,588639.0,405214.0,174139.0,9286.0,68.84,1.58,Ophthalmology,0.0,0.0,0.0
2025-04,monthly,Part_2,C_301,387015,241934,138243,6838,0.6251282250041988,0.3572032091779388,0.0176685658178623,10,0.999974161208222,105,False,12.57304385210662,12,12.5,-0.5730438521066201,-0.0730438521066201,24.8228082623778,24,24.5,-0.8228082623777979,-0.3228082623777979,39.3467274503419,39,39.5,-0.346727450341902,0.153272549658098,43.820932754880694,43,43.5,-0.820932754880694,-0.3209327548806939,21.346727450341906,2025-04-01,RTT-April-2025,C_301,387015.0,241934.0,138243.0,6838.0,62.51,1.77,Gastroenterology,0.0,0.0,0.0
2025-04,monthly,Part_2,C_320,409020,247379,153940,7701,0.6048090557918928,0.3763630140335436,0.0188279301745635,1,0.9999975551317783,105,False,13.234425394669834,13,13.5,-0.2344253946698344,0.2655746053301655,25.51634774747627,25,25.5,-0.5163477474762708,-0.0163477474762707,40.344296392590195,40,40.5,-0.3442963925901949,0.155703607409805,44.72544283413848,44,44.5,-0.7254428341384838,-0.2254428341384837,22.344296392590195,2025-04-01,RTT-April-2025,C_320,409020.0,247379.0,153940.0,7701.0,60.48,1.88,Cardiology,0.0,0.0,0.0
2025-04,monthly,Part_2,C_400,223699,120448,96629,6622,0.5384378115235204,0.4319599104153349,0.0296022780611446,0,1.0,105,False,15.645803314121038,15,15.5,-0.6458033141210375,-0.1458033141210375,29.269337016574585,29,29.5,-0.2693370165745854,0.2306629834254145,44.0908568496665,44,44.5,-0.0908568496665012,0.4091431503334988,48.1579417293233,48,48.5,-0.1579417293232978,0.3420582706767021,26.0908568496665,2025-04-01,RTT-April-2025,C_400,223699.0,120448.0,96629.0,6622.0,53.84,2.96,Neurology,0.0,0.0,0.0
2025-05,monthly,Part_2,C_100,394228,237313,145447,11468,0.6019689113913775,0.368941323295149,0.0290897653134734,17,0.9999568777458728,105,False,13.841527491086508,13,13.5,-0.8415274910865076,-0.3415274910865076,27.424372636644897,27,27.5,-0.4243726366448968,0.0756273633551032,43.214672670592314,43,43.5,-0.2146726705923143,0.2853273294076857,47.76193801833259,47,47.5,-0.761938018332593,-0.261938018332593,25.21467267059231,2025-05-01,RTT-May-2025,C_100,394228.0,237313.0,145447.0,11468.0,60.2,2.91,General Surgery,0.0,0.0,0.0
2025-05,monthly,Part_2,C_110,843398,489666,328571,25161,0.58058710122623,0.3895800084894676,0.0298328902843023,27,0.9999679866445024,105,False,14.709806212873698,14,14.5,-0.7098062128736977,-0.2098062128736977,28.16390171374912,28,28.5,-0.1639017137491194,0.3360982862508805,43.57337985725615,43,43.5,-0.5733798572561497,-0.0733798572561497,48.06516285211267,48,48.5,-0.065162852112671,0.4348371478873289,25.57337985725615,2025-05-01,RTT-May-2025,C_110,843398.0,489666.0,328571.0,25161.0,58.06,2.98,Trauma & Orthopaedics,0.0,0.0,0.0
2025-05,monthly,Part_2,C_120,636238,328412,279296,28530,0.5161779082670321,0.4389803815553299,0.0448417101776379,4,0.9999937130444896,105,False,17.308823529411764,17,17.5,-0.3088235294117645,0.1911764705882355,31.768801502034005,31,31.5,-0.7688015020340053,-0.2688015020340053,47.076945425991376,47,47.5,-0.0769454259913757,0.4230545740086242,51.20438787878787,51,51.5,-0.2043878787878696,0.2956121212121303,29.076945425991376,2025-05-01,RTT-May-2025,C_120,636238.0,328412.0,279296.0,28530.0,51.62,4.48,ENT,0.0,0.0,0.0
