date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name
2024-04-01,RTT-April-2024,C_300,37184.0,25159.0,11229.0,796.0,67.66,2.14,
2024-04-01,RTT-April-2024,C_170,8890.0,5809.0,2759.0,322.0,65.34,3.62,
2024-04-01,RTT-April-2024,C_160,104865.0,53852.0,44046.0,6967.0,51.35,6.64,
2024-04-01,RTT-April-2024,C_150,59305.0,32930.0,23505.0,2870.0,55.53,4.84,
2024-04-01,RTT-April-2024,C_140,329714.0,164745.0,143917.0,21052.0,49.97,6.38,
2024-04-01,RTT-April-2024,C_130,613214.0,400974.0,197181.0,15059.0,65.39,2.46,Ophthalmology
2024-04-01,RTT-April-2024,C_120,652244.0,327399.0,280362.0,44483.0,50.2,6.82,ENT
2024-04-01,RTT-April-2024,C_110,832905.0,455785.0,335781.0,41339.0,54.72,4.96,Trauma & Orthopaedics
2024-04-01,RTT-April-2024,C_101,418444.0,239848.0,159775.0,18821.0,57.32,4.5,
2024-04-01,RTT-April-2024,C_100,424237.0,240288.0,164022.0,19927.0,56.64,4.7,General Surgery
2024-05-01,RTT-May-2024,C_340,227797.0,146137.0,75733.0,5927.0,64.15,2.6,
2024-05-01,RTT-May-2024,C_400,234234.0,125936.0,100447.0,7851.0,53.77,3.35,Neurology
2024-05-01,RTT-May-2024,C_410,123904.0,82740.0,39109.0,2055.0,66.78,1.66,
2024-05-01,RTT-May-2024,C_430,23913.0,18856.0,4913.0,144.0,78.85,0.6,
2024-05-01,RTT-May-2024,C_502,597021.0,324685.0,242147.0,30189.0,54.38,5.06,
2024-05-01,RTT-May-2024,X05,491002.0,292017.0,178087.0,20898.0,59.47,4.26,
2024-05-01,RTT-May-2024,X02,644264.0,417316.0,212586.0,14362.0,64.77,2.23,
2024-05-01,RTT-May-2024,X03,2904.0,2231.0,663.0,10.0,76.83,0.34,
2024-05-01,RTT-May-2024,X04,362921.0,222837.0,126422.0,13662.0,61.4,3.76,
2024-05-01,RTT-May-2024,C_330,423898.0,262569.0,149670.0,11659.0,61.94,2.75,
2024-05-01,RTT-May-2024,C_999,7601650.0,4491807.0,2802343.0,307500.0,59.09,4.05,
2024-05-01,RTT-May-2024,X06,177033.0,126284.0,46802.0,3947.0,71.33,2.23,
2024-05-01,RTT-May-2024,C_320,412379.0,250004.0,151665.0,10710.0,60.62,2.6,Cardiology
2024-05-01,RTT-May-2024,C_300,38132.0,25804.0,11568.0,760.0,67.67,1.99,
2024-05-01,RTT-May-2024,C_100,423275.0,241452.0,161903.0,19920.0,57.04,4.71,General Surgery
2024-05-01,RTT-May-2024,C_101,417276.0,240855.0,158109.0,18312.0,57.72,4.39,
2024-05-01,RTT-May-2024,C_110,837731.0,469098.0,326220.0,42413.0,56.0,5.06,Trauma & Orthopaedics
2024-05-01,RTT-May-2024,C_120,656628.0,333974.0,277262.0,45392.0,50.86,6.91,ENT
2024-05-01,RTT-May-2024,C_301,390517.0,238399.0,139227.0,12891.0,61.05,3.3,Gastroenterology
2024-05-01,RTT-May-2024,C_140,329608.0,167102.0,141363.0,21143.0,50.7,6.41,
2024-05-01,RTT-May-2024,C_150,59298.0,34015.0,22727.0,2556.0,57.36,4.31,
2024-05-01,RTT-May-2024,C_160,105426.0,55929.0,42533.0,6964.0,53.05,6.61,
2024-05-01,RTT-May-2024,C_170,9054.0,6077.0,2670.0,307.0,67.12,3.39,
2024-05-01,RTT-May-2024,C_130,613435.0,407490.0,190517.0,15428.0,66.43,2.52,Ophthalmology
2024-06-01,RTT-June-2024,C_340,230131.0,146433.0,78104.0,5594.0,63.63,2.43,
2024-06-01,RTT-June-2024,C_400,234156.0,125101.0,100733.0,8322.0,53.43,3.55,Neurology
2024-06-01,RTT-June-2024,C_410,126016.0,84459.0,39217.0,2340.0,67.02,1.86,
2024-06-01,RTT-June-2024,C_430,24474.0,19418.0,4926.0,130.0,79.34,0.53,
2024-06-01,RTT-June-2024,C_502,595965.0,323304.0,243600.0,29061.0,54.25,4.88,
2024-06-01,RTT-June-2024,X02,646386.0,418215.0,213778.0,14393.0,64.7,2.23,
2024-06-01,RTT-June-2024,X03,2800.0,2137.0,647.0,16.0,76.32,0.57,
2024-06-01,RTT-June-2024,X04,362968.0,221260.0,128219.0,13489.0,60.96,3.72,
2024-06-01,RTT-June-2024,C_330,435109.0,272673.0,151504.0,10932.0,62.67,2.51,
2024-06-01,RTT-June-2024,X06,177934.0,126451.0,47432.0,4051.0,71.07,2.28,
2024-06-01,RTT-June-2024,C_999,7621297.0,4487082.0,2831522.0,302693.0,58.88,3.97,
2024-06-01,RTT-June-2024,X05,489801.0,289836.0,178788.0,21177.0,59.17,4.32,
2024-06-01,RTT-June-2024,C_320,417312.0,251224.0,155862.0,10226.0,60.2,2.45,Cardiology
2024-06-01,RTT-June-2024,C_300,37846.0,25694.0,11526.0,626.0,67.89,1.65,
2024-06-01,RTT-June-2024,C_170,9148.0,6170.0,2667.0,311.0,67.45,3.4,
2024-06-01,RTT-June-2024,C_160,107667.0,58064.0,42364.0,7239.0,53.93,6.72,
2024-06-01,RTT-June-2024,C_150,58596.0,33664.0,22309.0,2623.0,57.45,4.48,
2024-06-01,RTT-June-2024,C_140,327394.0,164049.0,143361.0,19984.0,50.11,6.1,
2024-06-01,RTT-June-2024,C_130,610276.0,403453.0,191918.0,14905.0,66.11,2.44,Ophthalmology
2024-06-01,RTT-June-2024,C_120,658437.0,329861.0,283743.0,44833.0,50.1,6.81,ENT
2024-06-01,RTT-June-2024,C_110,840043.0,471570.0,325815.0,42658.0,56.14,5.08,Trauma & Orthopaedics
2024-06-01,RTT-June-2024,C_101,414127.0,236224.0,160485.0,17418.0,57.04,4.21,
2024-06-01,RTT-June-2024,C_100,423728.0,240583.0,162755.0,20390.0,56.78,4.81,General Surgery
2024-06-01,RTT-June-2024,C_301,390983.0,237239.0,141769.0,11975.0,60.68,3.06,Gastroenterology
2024-07-01,RTT-July-2024,C_400,235455.0,126389.0,100759.0,8307.0,53.68,3.53,Neurology
2024-07-01,RTT-July-2024,C_410,128190.0,85624.0,40155.0,2411.0,66.79,1.88,
2024-07-01,RTT-July-2024,C_430,25287.0,20383.0,4754.0,150.0,80.61,0.59,
2024-07-01,RTT-July-2024,C_502,591491.0,322018.0,241802.0,27671.0,54.44,4.68,
2024-07-01,RTT-July-2024,C_340,230439.0,146140.0,79354.0,4945.0,63.42,2.15,
2024-07-01,RTT-July-2024,X03,2493.0,1934.0,547.0,12.0,77.58,0.48,
2024-07-01,RTT-July-2024,X04,360170.0,216057.0,131628.0,12485.0,59.99,3.47,
2024-07-01,RTT-July-2024,X05,490881.0,291422.0,178478.0,20981.0,59.37,4.27,
2024-07-01,RTT-July-2024,X06,176762.0,124223.0,48388.0,4151.0,70.28,2.35,
2024-07-01,RTT-July-2024,C_999,7623081.0,4484009.0,2848746.0,290326.0,58.82,3.81,
2024-07-01,RTT-July-2024,C_330,441116.0,276296.0,153136.0,11684.0,62.64,2.65,
2024-07-01,RTT-July-2024,X02,648193.0,418291.0,215778.0,14124.0,64.53,2.18,
2024-07-01,RTT-July-2024,C_301,389622.0,237948.0,141189.0,10485.0,61.07,2.69,Gastroenterology
2024-07-01,RTT-July-2024,C_100,419781.0,240220.0,159366.0,20195.0,57.23,4.81,General Surgery
2024-07-01,RTT-July-2024,C_101,411030.0,232783.0,161857.0,16390.0,56.63,3.99,
