period_raw,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,date,pct_within_18w,pct_over_52w
RTT-April-2024,C_130,Ophthalmology Service,613214.0,400974.0,197181.0,15059.0,2024-04-01,65.39,2.46
RTT-April-2024,C_110,Trauma and Orthopaedic Service,832905.0,455785.0,335781.0,41339.0,2024-04-01,54.72,4.96
RTT-April-2024,X03,Other - Mental Health Services,4203.0,3072.0,1108.0,23.0,2024-04-01,73.09,0.55
RTT-April-2024,C_101,Urology Service,418444.0,239848.0,159775.0,18821.0,2024-04-01,57.32,4.5
RTT-April-2024,C_410,Rheumatology Service,123106.0,80591.0,40563.0,1952.0,2024-04-01,65.46,1.59
RTT-May-2024,X02,Other - Medical Services,644264.0,417316.0,212586.0,14362.0,2024-05-01,64.77,2.23
RTT-May-2024,C_120,Ear Nose and Throat Service,656628.0,333974.0,277262.0,45392.0,2024-05-01,50.86,6.91
RTT-May-2024,C_140,Oral Surgery Service,329608.0,167102.0,141363.0,21143.0,2024-05-01,50.7,6.41
RTT-May-2024,C_410,Rheumatology Service,123904.0,82740.0,39109.0,2055.0,2024-05-01,66.78,1.66
RTT-May-2024,X05,Other - Surgical Services,491002.0,292017.0,178087.0,20898.0,2024-05-01,59.47,4.26
RTT-May-2024,C_130,Ophthalmology Service,613435.0,407490.0,190517.0,15428.0,2024-05-01,66.43,2.52
RTT-May-2024,X03,Other - Mental Health Services,2904.0,2231.0,663.0,10.0,2024-05-01,76.83,0.34
RTT-May-2024,C_160,Plastic Surgery Service,105426.0,55929.0,42533.0,6964.0,2024-05-01,53.05,6.61
RTT-May-2024,C_502,Gynaecology Service,597021.0,324685.0,242147.0,30189.0,2024-05-01,54.38,5.06
RTT-May-2024,C_100,General Surgery Service,423275.0,241452.0,161903.0,19920.0,2024-05-01,57.04,4.71
RTT-May-2024,C_320,Cardiology Service,412379.0,250004.0,151665.0,10710.0,2024-05-01,60.62,2.6
RTT-May-2024,C_430,Elderly Medicine Service,23913.0,18856.0,4913.0,144.0,2024-05-01,78.85,0.6
RTT-May-2024,C_150,Neurosurgical Service,59298.0,34015.0,22727.0,2556.0,2024-05-01,57.36,4.31
RTT-May-2024,X06,Other - Other Services,177033.0,126284.0,46802.0,3947.0,2024-05-01,71.33,2.23
RTT-May-2024,C_300,General Internal Medicine Service,38132.0,25804.0,11568.0,760.0,2024-05-01,67.67,1.99
RTT-May-2024,C_301,Gastroenterology Service,390517.0,238399.0,139227.0,12891.0,2024-05-01,61.05,3.3
RTT-May-2024,C_999,Total,7601650.0,4491807.0,2802343.0,307500.0,2024-05-01,59.09,4.05
RTT-May-2024,C_330,Dermatology Service,423898.0,262569.0,149670.0,11659.0,2024-05-01,61.94,2.75
RTT-May-2024,C_110,Trauma and Orthopaedic Service,837731.0,469098.0,326220.0,42413.0,2024-05-01,56.0,5.06
RTT-May-2024,C_400,Neurology Service,234234.0,125936.0,100447.0,7851.0,2024-05-01,53.77,3.35
