period,kind,source_file,sha256,size_bytes,download_url,publication_page
2025-09,monthly,data/rtt_monthly_series/202509-RTT-September2025-incomplete-pathways.csv,99acef049bb363a1118c262f3d5588418a8902790e6a87ec2b4a03d17c561d6d,42571768,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-Sep25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-10,monthly,data/rtt_monthly_series/202510-RTT-October2025-incomplete-pathways.csv,64f109e4eac993ee3c9b5fcfc3fe90901c1af8d29f811496a1d232323162a1a2,42679356,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2025/12/Full-CSV-data-file-Oct25-ZIP-4M-SrRW6y.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-11,monthly,data/rtt_monthly_series/202511-RTT-November2025-incomplete-pathways.csv,2ba4a5de509d2c7cb40e90d96fdf206b895d1c7abd3990d70220088ee08b0cf1,42198419,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/01/Full-CSV-data-file-Nov25-ZIP-4M-1Xmjkk.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-12,monthly,data/rtt_monthly_series/202512-RTT-December2025-incomplete-pathways.csv,9a32fc5713e135b68d71f5264fabdb54ebd863491567f3c558e54bdf059ea474,42528043,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/07/Full-CSV-data-file-Dec25-ZIP-3M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2026-01,monthly,data/rtt_monthly_series/202601-RTT-January2026-incomplete-pathways.csv,10b4240db8c533b7708d1cb08c0843b07f1be670b713e13c75197c156ba24e7e,42461548,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/03/Full-CSV-data-file-Jan26-ZIP-4M-WL5BiP.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2026-02,monthly,data/rtt_monthly_series/202602-RTT-February2026-incomplete-pathways.csv,b9435feea4c3f37874c88bc7b378e6720def169b05ec992fe0b73365288628c6,42261200,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/04/Full-CSV-data-file-Feb26-ZIP-4M-9j03fJT.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2026-03,monthly,data/rtt_monthly_series/202603-RTT-March2026-incomplete-pathways.csv,89f37a6027957c4a81a68cae59bbb37edf7ba96813c1d84cfc05bfdc25109d38,41427489,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/07/Full-CSV-data-file-Mar26-ZIP-3M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2026-04,monthly,data/rtt_monthly_series/202604-RTT-April2026-incomplete-pathways.csv,bc5e54816022e35193dc1c0f9d9da417787245b5e67fbee6fc796f64669bdaff,40908916,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/06/Full-CSV-data-file-Apr26-ZIP-3M-X7gGnn.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2026-27/
2026-04,full,data/source_research/20260430-RTT-April-2026-full-extract.csv,0486aca5891a96af4f15e2f4559795138baef08b0ed580602b8c3a7aec6a56e9,81624872,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/06/Full-CSV-data-file-Apr26-ZIP-3M-X7gGnn.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2026-27/
2026-05,monthly,data/rtt_monthly_series/202605-RTT-May2026-incomplete-pathways.csv,79887161cc596ff37264aba97c05dbb49b4aa4ee2b5b296f33ee5a18afbf8f1c,40459516,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2026-27/
