specialty_code,specialty,provider_code,from_period,to_period,from_total,to_total,relative_change,material_event,opposite_siblings,sibling_details,opposite_material_sibling
C_301,Gastroenterology,NT337,2025-08,2025-09,72.0,111.0,0.5416666666666666,False,C_101|C_160|X05,C_101 285->277 (-2.8%); C_160 124->103 (-16.9%); X05 88->86 (-2.3%),False
C_301,Gastroenterology,NT337,2026-04,2026-05,69.0,125.0,0.8115942028985508,False,C_100|C_110|C_160,C_100 778->617 (-20.7%); C_110 836->819 (-2.0%); C_160 5->4 (-20.0%),False
C_301,Gastroenterology,NT339,2026-04,2026-05,0.0,7.0,inf,False,,,False
C_301,Gastroenterology,NT343,2026-02,2026-03,0.0,10.0,inf,False,C_100|C_160,C_100 57->33 (-42.1%); C_160 98->0 (-100.0%),False
C_301,Gastroenterology,NT343,2026-03,2026-04,10.0,0.0,-1.0,False,C_100|C_160|X05,C_100 33->81 (+145.5%); C_160 0->106 (+inf%); X05 1->2 (+100.0%),False
C_301,Gastroenterology,NT343,2026-04,2026-05,0.0,4.0,inf,False,C_100|C_160,C_100 81->52 (-35.8%); C_160 106->0 (-100.0%),False
C_301,Gastroenterology,NT344,2025-03,2025-04,0.0,1.0,inf,False,X05,X05 16->15 (-6.2%),False
C_301,Gastroenterology,NT344,2025-08,2025-09,1.0,0.0,-1.0,False,C_110|X05,C_110 171->185 (+8.2%); X05 30->39 (+30.0%),False
C_301,Gastroenterology,NT344,2026-04,2026-05,0.0,2.0,inf,False,C_100,C_100 73->72 (-1.4%),False
C_301,Gastroenterology,NT345,2025-03,2025-04,0.0,1.0,inf,False,C_100|C_120|X05,C_100 122->113 (-7.4%); C_120 15->12 (-20.0%); X05 30->29 (-3.3%),False
C_301,Gastroenterology,NT345,2025-05,2025-06,1.0,0.0,-1.0,False,C_110,C_110 209->236 (+12.9%),False
C_301,Gastroenterology,NT345,2026-02,2026-03,0.0,5.0,inf,False,C_100|C_110|C_502,C_100 96->67 (-30.2%); C_110 295->271 (-8.1%); C_502 1->0 (-100.0%),False
C_301,Gastroenterology,NT345,2026-03,2026-04,5.0,0.0,-1.0,False,C_100,C_100 67->74 (+10.4%),False
C_301,Gastroenterology,NT347,2024-02,2024-03,5.0,10.0,1.0,False,C_100|C_101|C_110|C_120|C_400|C_502|X05,C_100 393->335 (-14.8%); C_101 249->172 (-30.9%); C_110 1589->1344 (-15.4%); C_120 356->242 (-32.0%); C_400 7->0 (-100.0%); C_502 397->257 (-35.3%); X05 53->47 (-11.3%),False
C_301,Gastroenterology,NT347,2024-04,2024-05,7.0,3.0,-0.5714285714285714,False,C_120|C_320|C_400|C_502|X05,C_120 227->262 (+15.4%); C_320 1->3 (+200.0%); C_400 27->57 (+111.1%); C_502 226->268 (+18.6%); X05 21->47 (+123.8%),False
C_301,Gastroenterology,NT347,2024-05,2024-06,3.0,1.0,-0.6666666666666666,False,C_100|C_101|C_110|C_150,C_100 321->362 (+12.8%); C_101 140->171 (+22.1%); C_110 1412->1461 (+3.5%); C_150 93->94 (+1.1%),False
