specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers,panel
C_120,"Ear, Nose and Throat",500,14,15,0.5935305751874879,0.4922419554079504,0.6660172941009701,114.0,balanced
C_120,"Ear, Nose and Throat",500,15,14,0.571185562984028,0.4807152548551063,0.6517769992507241,114.0,balanced
C_120,"Ear, Nose and Throat",500,16,13,0.5508150908244063,0.4796946193880238,0.6295822279824224,114.0,balanced
C_120,"Ear, Nose and Throat",500,17,12,0.5273917768642461,0.4420364107652741,0.6111540876045444,114.0,balanced
C_120,"Ear, Nose and Throat",500,18,11,0.5070956624833622,0.4283226342115389,0.5947591178793463,114.0,balanced
C_120,"Ear, Nose and Throat",500,19,10,0.4917478382373788,0.4218343087422288,0.5712034993216015,114.0,balanced
C_120,"Ear, Nose and Throat",500,20,9,0.4747552477448592,0.4105830177598672,0.5324922541058302,114.0,balanced
C_120,"Ear, Nose and Throat",500,21,8,0.4719953018367389,0.40744010854377194,0.5353840545958972,114.0,balanced
C_120,"Ear, Nose and Throat",500,22,7,0.4756410070964252,0.40458070917964406,0.529308843482311,114.0,balanced
C_120,"Ear, Nose and Throat",500,23,6,0.4767204660361948,0.40651667645450684,0.5253316052732833,114.0,balanced
C_120,"Ear, Nose and Throat",500,24,5,0.48017739616451677,0.4223932281646787,0.5061096373098966,114.0,balanced
C_120,"Ear, Nose and Throat",500,25,4,0.47935440756566294,0.44580304165569756,0.5127356675644479,114.0,balanced
C_120,"Ear, Nose and Throat",500,26,3,0.47657061082872637,0.4494400680423645,0.5109455053563112,114.0,balanced
C_120,"Ear, Nose and Throat",500,27,2,0.48063830218100084,0.4705575018731902,0.4907191024888115,114.0,balanced
C_120,"Ear, Nose and Throat",500,28,1,0.44756890301937996,0.44756890301937996,0.44756890301937996,114.0,balanced
C_110,Trauma and Orthopaedics,500,1,28,0.9831350797289958,0.9608518186828326,0.9899283549187103,191.0,balanced
C_110,Trauma and Orthopaedics,500,2,27,0.9625041428943015,0.9245039955910719,0.9786649214659684,191.0,balanced
C_110,Trauma and Orthopaedics,500,3,26,0.9417890620006661,0.8714160236979883,0.9639552907136952,191.0,balanced
C_110,Trauma and Orthopaedics,500,4,25,0.920619102810085,0.8464590796362634,0.9513278451364011,191.0,balanced
C_110,Trauma and Orthopaedics,500,5,24,0.9027925632291245,0.8267532378065582,0.9351491457701846,191.0,balanced
C_110,Trauma and Orthopaedics,500,6,23,0.8871398913073002,0.8117112152108018,0.9131406723615322,191.0,balanced
C_110,Trauma and Orthopaedics,500,7,22,0.871820326736594,0.8020460181868283,0.899200881785616,191.0,balanced
C_110,Trauma and Orthopaedics,500,8,21,0.8579469014538864,0.7923665233047559,0.8867796254046468,191.0,balanced
C_110,Trauma and Orthopaedics,500,9,20,0.8453096198897505,0.7857829291815926,0.8730034414627091,191.0,balanced
C_110,Trauma and Orthopaedics,500,10,19,0.8338286471110736,0.7609069302838246,0.8582632956737393,191.0,balanced
