specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers
C_110,Trauma and Orthopaedics,500,4,25,0.9148070863610713,0.8420527636893524,0.9447050846784106,212.6
C_110,Trauma and Orthopaedics,500,5,24,0.8956564977921145,0.818789541712964,0.9271024648545979,211.75
C_110,Trauma and Orthopaedics,500,6,23,0.8792882457132574,0.7941757672926587,0.9052384592811271,211.2173913043478
C_110,Trauma and Orthopaedics,500,7,22,0.864567702375057,0.7960411849618683,0.8908905906161574,210.63636363636363
C_110,Trauma and Orthopaedics,500,8,21,0.8507948305899601,0.7821673089048164,0.8789032145119667,210.0
C_110,Trauma and Orthopaedics,500,9,20,0.8389816572524358,0.7760324983073799,0.8747129168977209,209.35
C_110,Trauma and Orthopaedics,500,10,19,0.8290729409347456,0.763683659817359,0.8573210594105487,208.52631578947367
C_110,Trauma and Orthopaedics,500,11,18,0.8206025194510185,0.7665770537624085,0.8519269230290782,207.77777777777777
C_110,Trauma and Orthopaedics,500,12,17,0.81285716834092,0.7720081985255388,0.8441393667382098,207.1764705882353
C_110,Trauma and Orthopaedics,500,13,16,0.8055718306853605,0.7511905921572447,0.8378860980155084,206.6875
C_110,Trauma and Orthopaedics,500,14,15,0.7969143890372723,0.7505457520568456,0.824340770791075,206.4
C_110,Trauma and Orthopaedics,500,15,14,0.7871331050624394,0.7264749813293503,0.8113095532578044,205.92857142857142
C_110,Trauma and Orthopaedics,500,16,13,0.7763833031834998,0.7224804126470982,0.7986803433027688,205.76923076923077
C_110,Trauma and Orthopaedics,500,17,12,0.7648791609730633,0.7132693211089988,0.7873008541074334,205.58333333333334
C_110,Trauma and Orthopaedics,500,18,11,0.7535423005776537,0.7010111915662781,0.7766768708166094,205.27272727272728
C_110,Trauma and Orthopaedics,500,19,10,0.7426308802903038,0.7096483964888356,0.7595244311449402,205.2
C_110,Trauma and Orthopaedics,500,20,9,0.7321357289419244,0.7034507831420569,0.7449893097495771,205.11111111111111
C_110,Trauma and Orthopaedics,500,21,8,0.7223332587073659,0.6986739386775537,0.7408686325583986,204.875
C_110,Trauma and Orthopaedics,500,22,7,0.7096946559368649,0.6685686046391912,0.7293263606521156,204.57142857142858
C_110,Trauma and Orthopaedics,500,23,6,0.7013419777830429,0.6732633919838565,0.7286522831387616,205.0
C_110,Trauma and Orthopaedics,500,24,5,0.6905455507632634,0.6687923620477235,0.7099787265621136,205.6
C_110,Trauma and Orthopaedics,500,25,4,0.6804924533499043,0.6660957236094425,0.6999651766934574,205.75
C_110,Trauma and Orthopaedics,500,26,3,0.6669375153688574,0.657263445278656,0.6776982281558545,204.66666666666666
C_110,Trauma and Orthopaedics,500,27,2,0.6605942035635257,0.6507770742301702,0.6704113328968813,204.0
C_110,Trauma and Orthopaedics,500,28,1,0.6563673608740185,0.6563673608740185,0.6563673608740185,203.0
